Line,Smell,Cause,Number of Conditions,Threshold,File
162,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/map/mutable/ParallelUnsafeMapIteratePutAcceptanceTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
203,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ScalaAnyRefMapGetTest_get_jmhTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
203,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/map/jmh_generated/ChainMapPutTest_hppc_jmhTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
205,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/list/jmh_generated/ListIterationTest_parallel_immutable_ec_jmhTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/MinByDoubleTest_minByMarketValue_parallel_lazy_collect_lambda_jdk_jmhTest.java
205,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/MinByDoubleTest_minByMarketValue_parallel_lazy_collect_lambda_jdk_jmhTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/AggregateByTest_aggregateByProduct_parallel_eager_ec_jmhTest.java
207,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/AggregateByTest_aggregateByProduct_parallel_eager_ec_jmhTest.java
69,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/IntIntMapTest_get_jmhTest.java
203,complex conditional,long if,4,3,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/target/generated-sources/annotations/org/eclipse/collections/impl/jmh/jmh_generated/IntIntMapTest_get_jmhTest.java
84,complex conditional,long if,8,3,../input_projects/java_projects/eclipse-collections-11.1.0/eclipse-collections-code-generator/src/main/java/org/eclipse/collections/codegenerator/EclipseCollectionsCodeGenerator.java
116,complex conditional,long if,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/eclipse-collections-code-generator/src/main/java/org/eclipse/collections/codegenerator/tools/FileUtils.java
74,complex conditional,long switch,6,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
102,complex conditional,long switch,6,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
168,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
216,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
242,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
268,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
295,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
321,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
347,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
367,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
393,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
422,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
449,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
481,complex conditional,long switch,5,3,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/immutable/ImmutableMemoryEfficientMapTestCase.java
