Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
67,long class,616,200,46,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/parallel/ParallelIterateAcceptanceTest.java
24,long class,215,200,14,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/map/mutable/primitive/IntIntMapProbeTest.java
24,long class,214,200,14,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/map/mutable/primitive/IntLongMapProbeTest.java
38,long class,220,200,17,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/map/mutable/ConcurrentHashMapAcceptanceTest.java
34,long class,1693,200,91,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/map/mutable/UnifiedMapAcceptanceTest.java
63,long class,555,200,44,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/forkjoin/FJIterateAcceptanceTest.java
32,long class,516,200,32,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/concurrent/MultiReaderUnifiedSetAcceptanceTest.java
37,long class,844,200,46,20,../input_projects/java_projects/eclipse-collections-11.1.0/acceptance-tests/src/test/java/org/eclipse/collections/impl/set/mutable/UnifiedSetAcceptanceTest.java
39,long class,351,200,26,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/IntIntMapLargeStressTest.java
34,long class,236,200,17,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/LongLongMapLargeStressTest.java
52,long class,488,200,29,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/FunctionalInterfaceTest.java
32,long class,144,200,22,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/AnySatisfyTest.java
50,long class,339,200,13,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/FunctionalInterfaceSetTest.java
44,long class,424,200,47,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/IntListJMHTest.java
48,long class,601,200,68,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/GroupBySetTest.java
47,long class,763,200,65,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/AggregateByTest.java
33,long class,186,200,21,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/SumByDoubleTest.java
37,long class,227,200,14,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/CountTest.java
37,long class,227,200,14,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/CountSetTest.java
31,long class,134,200,21,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/GroupByListTest.java
35,long class,241,200,18,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/LongLongMapSmallStressTest.java
40,long class,358,200,27,20,../input_projects/java_projects/eclipse-collections-11.1.0/jmh-tests/src/main/java/org/eclipse/collections/impl/jmh/IntIntMapSmallStressTest.java
29,long class,205,200,11,20,../input_projects/java_projects/eclipse-collections-11.1.0/eclipse-collections-code-generator/src/main/java/org/eclipse/collections/codegenerator/EclipseCollectionsCodeGenerator.java
48,long class,1045,200,75,20,../input_projects/java_projects/eclipse-collections-11.1.0/performance-tests/src/test/java/org/eclipse/collections/impl/parallel/SerialParallelPerformanceTest.java
54,long class,1055,200,82,20,../input_projects/java_projects/eclipse-collections-11.1.0/performance-tests/src/test/java/org/eclipse/collections/impl/parallel/SerialParallelLazyPerformanceTest.java
70,long class,782,200,52,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/parallel/ParallelIterateTest.java
45,long class,319,200,42,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/UnmodifiableMutableCollectionTestCase.java
28,long class,476,200,25,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/primitive/AbstractMutableBooleanCollectionTestCase.java
28,long class,170,200,23,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/primitive/AbstractMutableBooleanStackTestCase.java
35,long class,593,200,43,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/primitive/AbstractBooleanIterableTestCase.java
53,long class,256,200,26,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/CollectionAdapterTest.java
67,long class,337,200,31,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/UnmodifiableMutableCollectionTest.java
40,long class,291,200,27,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/mutable/AbstractCollectionTestCase.java
67,long class,879,200,95,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collection/immutable/AbstractImmutableCollectionTestCase.java
177,long class,2077,200,200,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/AbstractRichIterableTestCase.java
30,long class,239,200,20,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/tuple/TuplesTest.java
80,long class,641,200,65,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/tuple/primitive/PrimitiveTuplesTest.java
60,long class,193,200,24,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/stream/PrimitiveStreamsTest.java
61,long class,1447,200,122,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collector/Collectors2Test.java
62,long class,774,200,60,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/collector/Collectors2AdditionalTest.java
13,long class,133,200,21,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/math/MutableLong.java
15,long class,143,200,22,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/math/MutableCharacter.java
98,long class,1705,200,154,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/MapIterableTestCase.java
52,long class,768,200,69,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/mutable/MutableMapIterableTestCase.java
58,long class,795,200,95,20,../input_projects/java_projects/eclipse-collections-11.1.0/unit-tests/src/test/java/org/eclipse/collections/impl/map/mutable/primitive/AbstractObjectBooleanMapKeyValuesViewTestCase.java
