Line,Smell,Cause,Number of Conditions,Threshold,File
67,complex conditional,long if,5,3,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java
98,complex conditional,long if,6,3,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/BagOfPrimitivesDeserializationBenchmark.java
184,complex conditional,long switch,10,3,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
240,complex conditional,long switch,12,3,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
271,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/GsonTest.java
2390,complex conditional,long if,11,3,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/stream/JsonReaderTest.java
35,complex conditional,long if,5,3,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/PrimitiveTypeAdapter.java
537,complex conditional,long if,29,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
679,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
735,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
790,complex conditional,long if,6,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
867,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
893,complex conditional,long if,7,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
977,complex conditional,long if,5,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1020,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1074,complex conditional,long if,7,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1185,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1262,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1476,complex conditional,long if,9,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
1684,complex conditional,long if,4,3,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
