Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
57,long class,413,200,25,20,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
29,long class,223,200,13,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/JsonArrayAsListTest.java
42,long class,326,200,15,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
47,long class,610,200,42,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/GsonTest.java
33,long class,338,200,30,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/JsonPrimitiveTest.java
41,long class,306,200,17,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/JsonObjectTest.java
34,long class,392,200,18,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java
41,long class,2400,200,154,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/stream/JsonReaderTest.java
32,long class,999,200,58,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/stream/JsonWriterTest.java
42,long class,418,200,14,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java
37,long class,210,200,17,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/internal/LinkedTreeMapTest.java
31,long class,343,200,18,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/internal/bind/JsonElementReaderTest.java
34,long class,305,200,22,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/internal/bind/JsonTreeWriterTest.java
42,long class,238,200,17,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/internal/bind/DefaultDateTypeAdapterTest.java
32,long class,347,200,17,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/JsonArrayTest.java
36,long class,266,200,13,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/JsonObjectAsMapTest.java
38,long class,396,200,23,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/common/TestTypes.java
40,long class,354,200,27,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/GsonBuilderTest.java
33,long class,225,200,14,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/MixedStreamTest.java
43,long class,223,200,14,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterSerializerDeserializerTest.java
65,long class,710,200,59,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ObjectTest.java
46,long class,697,200,54,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java
50,long class,261,200,25,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/EnumTest.java
48,long class,494,200,26,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ReflectionAccessFilterTest.java
52,long class,395,200,33,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/CollectionTest.java
39,long class,266,200,22,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/NamingPolicyTest.java
41,long class,258,200,29,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ArrayTest.java
70,long class,727,200,71,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/DefaultTypeAdaptersTest.java
25,long class,203,200,7,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/NumberLimitsTest.java
52,long class,508,200,41,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java
47,long class,771,200,52,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnClassesTest.java
40,long class,213,200,14,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java
43,long class,225,200,20,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/NullObjectAndFieldTest.java
45,long class,933,200,108,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/PrimitiveTest.java
56,long class,645,200,58,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/MapTest.java
50,long class,501,200,27,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ParameterizedTypesTest.java
47,long class,439,200,34,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/Java17RecordTest.java
42,long class,249,200,24,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/StreamingTypeAdaptersTest.java
50,long class,249,200,21,20,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/InheritanceTest.java
39,long class,394,200,31,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/JsonArray.java
34,long class,304,200,22,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/JsonElement.java
211,long class,1595,200,43,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java
163,long class,666,200,38,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java
54,long class,398,200,20,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/reflect/TypeToken.java
43,long class,637,200,42,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java
28,long class,296,200,27,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/reflect/ReflectionHelper.java
49,long class,205,200,16,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/Excluder.java
45,long class,642,200,37,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java
51,long class,412,200,26,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java
38,long class,347,200,8,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/bind/util/ISO8601Utils.java
60,long class,609,200,28,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java
66,long class,1099,200,78,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java
39,long class,347,200,29,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java
33,long class,221,200,22,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java
93,long class,846,200,33,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/GsonBuilder.java
37,long class,219,200,19,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/JsonObject.java
151,long class,1381,200,54,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/Gson.java
32,long class,293,200,19,20,../input_projects/java_projects/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java
7,long class,6714,200,582,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
53,long class,646,200,65,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
335,long class,316,200,30,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
750,long class,746,200,73,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
1053,long class,395,200,36,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
1563,long class,1076,200,96,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
1913,long class,678,200,55,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
2698,long class,823,200,77,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
3051,long class,422,200,38,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
3592,long class,2996,200,280,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
3678,long class,1823,200,175,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
3863,long class,734,200,71,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4180,long class,369,200,34,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
4871,long class,582,200,49,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
5843,long class,697,200,54,20,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
73,long class,334,200,13,20,../input_projects/java_projects/gson/proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java
34,long class,239,200,18,20,../input_projects/java_projects/gson/graal-native-image-test/src/test/java/com/google/gson/native_test/ReflectionTest.java
43,long class,274,200,9,20,../input_projects/java_projects/gson/shrinker-test/src/test/java/com/google/gson/it/ShrinkingIT.java
17,long class,276,200,17,20,../input_projects/java_projects/gson/shrinker-test/src/main/java/com/example/Main.java
30,long class,214,200,14,20,../input_projects/java_projects/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java
43,long class,256,200,11,20,../input_projects/java_projects/gson/extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java
32,long class,253,200,7,20,../input_projects/java_projects/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java
