Line,Smell,Threshold,File
392,long message chain,4,../input_projects/java_projects/gson/metrics/src/main/java/com/google/gson/metrics/ParseBenchmark.java
143,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/metrics/PerformanceTest.java
433,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/GsonTest.java
166,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ArrayTest.java
40,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/TypeAdapterPrecedenceTest.java
124,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/TypeAdapterPrecedenceTest.java
135,long message chain,4,../input_projects/java_projects/gson/gson/src/test/java/com/google/gson/functional/ParameterizedTypesTest.java
11,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Annotations.java
12,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Annotations.java
67,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Annotations.java
75,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
81,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
341,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
347,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
374,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
379,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
456,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
774,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
780,long message chain,4,../input_projects/java_projects/gson/proto/target/generated-test-sources/protobuf/java/com/google/gson/protobuf/generated/Bag.java
