Line,Smell,Cause,Number of Conditions,Threshold,File
89,complex conditional,long if,7,3,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/FilePosition.java
54,complex conditional,long if,6,3,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/NodeTreeWalker.java
91,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ThrowableCollector.java
74,complex conditional,long if,4,3,../input_projects/java_projects/junit5/documentation/src/main/java/example/domain/Person.java
106,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/execution/RunListenerAdapter.java
53,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/descriptor/TestSourceProvider.java
25,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/descriptor/DescriptionUtils.java
258,complex conditional,long switch,5,3,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Executions.java
91,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertIterableEquals.java
136,complex conditional,long if,8,3,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertLinesMatch.java
354,complex conditional,long if,13,3,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertArrayEquals.java
261,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/DisplayNameGenerator.java
200,complex conditional,long switch,15,3,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/condition/JRE.java
268,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-suite-commons/src/main/java/org/junit/platform/suite/commons/SuiteLauncherDiscoveryRequestBuilder.java
163,complex conditional,long if,11,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/StringUtils.java
128,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ExceptionUtils.java
162,complex conditional,long if,7,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/AnnotationUtils.java
300,complex conditional,long if,5,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/AnnotationUtils.java
334,complex conditional,long if,5,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/AnnotationUtils.java
917,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ReflectionUtils.java
194,complex conditional,long if,10,3,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/open/xml/OpenTestReportGeneratingListener.java
114,complex conditional,long if,5,3,../input_projects/java_projects/junit5/junit-platform-runner/src/main/java/org/junit/platform/runner/JUnitPlatformTestTree.java
90,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-jupiter-params/src/main/java/org/junit/jupiter/params/converter/DefaultArgumentConverter.java
127,complex conditional,long switch,9,3,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/options/SelectorConverter.java
119,complex conditional,long switch,4,3,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/options/Theme.java
146,complex conditional,long switch,6,3,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/tasks/ConsoleTestExecutor.java
24,complex conditional,long switch,4,3,../input_projects/java_projects/junit5/junit-platform-console/src/main/java/org/junit/platform/console/tasks/Style.java
269,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/core/LauncherDiscoveryRequestBuilder.java
70,complex conditional,long switch,5,3,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListener.java
46,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/listeners/OutputDir.java
98,complex conditional,long switch,10,3,../input_projects/java_projects/junit5/junit-platform-launcher/src/main/java/org/junit/platform/launcher/listeners/SummaryGeneratingListener.java
79,complex conditional,long switch,8,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/TimeoutDuration.java
217,complex conditional,long switch,4,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/extension/TimeoutExtension.java
76,complex conditional,long if,5,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/AbstractOrderingVisitor.java
67,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/discovery/ClassSelectorResolver.java
134,complex conditional,long if,4,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestMethodTestDescriptor.java
294,complex conditional,long if,5,3,../input_projects/java_projects/junit5/junit-jupiter-engine/src/main/java/org/junit/jupiter/engine/descriptor/TestMethodTestDescriptor.java
