Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
56,long class,255,200,19,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/MethodSelector.java
52,long class,890,200,44,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/DiscoverySelectors.java
37,long class,325,200,24,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/UniqueId.java
43,long class,222,200,17,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/NodeTestTask.java
51,long class,242,200,18,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/discovery/EngineDiscoveryRequestResolver.java
58,long class,205,200,13,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/discovery/EngineDiscoveryRequestResolution.java
36,long class,218,200,19,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/MethodSource.java
45,long class,366,200,28,20,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/store/NamespacedHierarchicalStore.java
42,long class,176,200,26,20,../input_projects/java_projects/junit5/documentation/src/test/java/example/ConditionalTestExecutionDemo.java
69,long class,401,200,43,20,../input_projects/java_projects/junit5/documentation/src/test/java/example/ParameterizedTestDemo.java
103,long class,820,200,57,20,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineExecutionTests.java
78,long class,725,200,49,20,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineDiscoveryTests.java
58,long class,230,200,16,20,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageLauncherIntegrationTests.java
36,long class,215,200,31,20,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/execution/RunListenerAdapter.java
48,long class,228,200,29,20,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/execution/TestRun.java
54,long class,419,200,33,20,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/EventConditions.java
56,long class,390,200,18,20,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/EngineTestKit.java
34,long class,226,200,16,20,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Event.java
52,long class,421,200,34,20,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Events.java
42,long class,260,200,22,20,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Executions.java
44,long class,422,200,14,20,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/StandaloneTests.java
90,long class,3563,200,293,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/Assertions.java
33,long class,206,200,15,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertLinesMatch.java
28,long class,421,200,52,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertArrayEquals.java
45,long class,274,200,19,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/Assumptions.java
26,long class,173,200,32,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertEquals.java
26,long class,254,200,32,20,../input_projects/java_projects/junit5/junit-jupiter-api/src/main/java/org/junit/jupiter/api/AssertNotEquals.java
70,long class,249,200,20,20,../input_projects/java_projects/junit5/junit-platform-suite-commons/src/main/java/org/junit/platform/suite/commons/SuiteLauncherDiscoveryRequestBuilder.java
38,long class,280,200,16,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/Preconditions.java
33,long class,226,200,12,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/StringUtils.java
50,long class,211,200,19,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ClasspathScanner.java
60,long class,446,200,22,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/AnnotationUtils.java
77,long class,1752,200,105,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/util/ReflectionUtils.java
41,long class,333,200,41,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/function/Try.java
36,long class,205,200,17,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/support/ModifierSupport.java
46,long class,477,200,21,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/support/ReflectionSupport.java
45,long class,472,200,17,20,../input_projects/java_projects/junit5/junit-platform-commons/src/main/java/org/junit/platform/commons/support/AnnotationSupport.java
69,long class,348,200,36,20,../input_projects/java_projects/junit5/junit-platform-reporting/src/main/java/org/junit/platform/reporting/legacy/xml/XmlReportWriter.java
49,long class,231,200,16,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/reporting/legacy/xml/XmlReportWriterTests.java
64,long class,382,200,20,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/reporting/legacy/xml/LegacyXmlReportGeneratingListenerTests.java
71,long class,584,200,43,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/DefaultLauncherTests.java
38,long class,230,200,31,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/CompositeTestExecutionListenerTests.java
52,long class,330,200,25,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/LauncherDiscoveryRequestBuilderTests.java
58,long class,324,200,23,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/LauncherFactoryTests.java
36,long class,200,200,22,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/core/LauncherConfigurationParametersTests.java
68,long class,275,200,28,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/UniqueIdTrackingListenerIntegrationTests.java
39,long class,238,200,12,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/launcher/listeners/SummaryGenerationTests.java
81,long class,1858,200,192,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/ReflectionUtilsTests.java
53,long class,254,200,25,20,../input_projects/java_projects/junit5/platform-tests/src/test/java/org/junit/platform/commons/util/CollectionUtilsTests.java
