Line,Smell,Threshold,File
233,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/NestedMethodSelector.java
302,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/MethodSelector.java
251,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/discovery/DiscoverySelectors.java
62,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/CompositeFilter.java
65,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/LockManager.java
186,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/discovery/EngineDiscoveryRequestResolution.java
157,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/AbstractTestDescriptor.java
94,long message chain,4,../input_projects/java_projects/junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/store/NamespacedHierarchicalStore.java
44,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/org/junit/api/tools/AbstractApiReportWriter.java
32,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/testkit/EngineTestKitFailedMethodDemo.java
27,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/testkit/EngineTestKitStatisticsDemo.java
37,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/testkit/EngineTestKitStatisticsDemo.java
43,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/testkit/EngineTestKitStatisticsDemo.java
48,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/testkit/EngineTestKitAllEventsDemo.java
112,long message chain,4,../input_projects/java_projects/junit5/documentation/src/test/java/example/UsingTheLauncherDemo.java
72,long message chain,4,../input_projects/java_projects/junit5/junit-platform-suite-engine/src/main/java/org/junit/platform/suite/engine/ClassSelectorResolver.java
109,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/discovery/VintageDiscovererTests.java
263,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineDiscoveryTests.java
304,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/test/java/org/junit/vintage/engine/VintageTestEngineDiscoveryTests.java
33,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/discovery/VintageDiscoverer.java
66,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/discovery/UniqueIdFilter.java
47,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/support/UniqueIdReader.java
82,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/execution/TestRun.java
130,long message chain,4,../input_projects/java_projects/junit5/junit-vintage-engine/src/main/java/org/junit/vintage/engine/descriptor/VintageTestDescriptor.java
146,long message chain,4,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Execution.java
347,long message chain,4,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Events.java
432,long message chain,4,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Events.java
189,long message chain,4,../input_projects/java_projects/junit5/junit-platform-testkit/src/main/java/org/junit/platform/testkit/engine/Executions.java
42,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/MavenSurefireCompatibilityTests.java
102,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/ModularUserGuideTests.java
64,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/ArchUnitTests.java
85,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/ArchUnitTests.java
39,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/GraalVmStarterTests.java
92,long message chain,4,../input_projects/java_projects/junit5/platform-tooling-support-tests/src/test/java/platform/tooling/support/tests/ToolProviderTests.java
