Line,Smell,Cause,Number of Conditions,Threshold,File
51,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-settings-builder/src/main/java/org/apache/maven/settings/merge/MavenSettingsMerger.java
59,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/DefaultSettingsValidator.java
88,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/project/LegacyLocalRepositoryManager.java
131,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/project/inheritance/t02/ProjectInheritanceTest.java
46,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/DefaultMirrorSelector.java
82,complex conditional,long if,8,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/DefaultMirrorSelector.java
176,complex conditional,long if,7,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/DefaultMirrorSelector.java
220,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
440,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
489,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
527,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
559,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
584,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
616,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
688,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
98,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
260,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
370,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
440,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
630,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
166,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
249,complex conditional,long if,12,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
395,complex conditional,long if,14,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
653,complex conditional,long switch,18,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
98,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/transform/AbstractVersionTransformation.java
93,complex conditional,long if,7,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataResolutionResult.java
113,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataGraphVertex.java
126,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/DefaultClasspathTransformation.java
108,complex conditional,long if,5,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/path/DefaultPathTranslator.java
61,complex conditional,long if,7,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/ModelUtils.java
139,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/ModelUtils.java
196,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/ModelUtils.java
122,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
270,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
295,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
319,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
405,complex conditional,long if,6,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
483,complex conditional,long if,11,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
556,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
591,complex conditional,long switch,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
78,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
104,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
133,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
140,complex conditional,long if,24,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
292,complex conditional,long if,4,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
271,complex conditional,long if,7,3,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/AbstractStringBasedModelInterpolator.java
