Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
42,long class,248,200,6,20,../input_projects/java_projects/maven-3-9-6/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/DefaultSettingsValidator.java
30,long class,209,200,14,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/repository/MirrorProcessorTest.java
51,long class,319,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/repository/legacy/DefaultWagonManagerTest.java
57,long class,884,200,65,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/repository/legacy/resolver/DefaultArtifactCollectorTest.java
38,long class,552,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/project/ModelUtilsTest.java
70,long class,256,200,25,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/artifact/AbstractArtifactComponentTestCase.java
48,long class,221,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/artifact/resolver/ArtifactResolverTest.java
39,long class,274,200,33,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/MetadataResolutionResult.java
84,long class,719,200,42,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
65,long class,625,200,19,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
61,long class,689,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
44,long class,306,200,16,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultUpdateCheckManager.java
35,long class,408,200,33,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataGraph.java
31,long class,299,200,43,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/ArtifactMetadata.java
34,long class,165,200,25,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/MetadataResolutionRequest.java
36,long class,273,200,7,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/ModelUtils.java
52,long class,577,200,18,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java
49,long class,235,200,14,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java
46,long class,261,200,11,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
93,long class,213,200,6,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
62,long class,270,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/AbstractStringBasedModelInterpolator.java
37,long class,209,200,28,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepository.java
52,long class,381,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java
72,long class,545,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
45,long class,510,200,29,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/interpolation/StringSearchModelInterpolatorTest.java
46,long class,400,200,23,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/interpolation/AbstractModelInterpolatorTest.java
35,long class,737,200,73,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/validation/DefaultModelValidatorTest.java
56,long class,528,200,41,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java
48,long class,269,200,10,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java
85,long class,1136,200,46,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/interpolation/StringVisitorModelInterpolator.java
142,long class,1078,200,42,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/interpolation/StringVisitorModelInterpolator.java
52,long class,350,200,27,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/interpolation/StringSearchModelInterpolator.java
116,long class,285,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/interpolation/StringSearchModelInterpolator.java
67,long class,1574,200,44,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
37,long class,209,200,35,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/FilterModelBuildingRequest.java
37,long class,314,200,36,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuildingRequest.java
78,long class,154,200,26,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilderFactory.java
91,long class,1208,200,48,20,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
74,long class,290,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java
68,long class,215,200,11,20,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionRangeResolver.java
71,long class,471,200,22,20,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java
30,long class,322,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/ComparableVersionTest.java
31,long class,734,200,12,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java
41,long class,467,200,58,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java
36,long class,451,200,17,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java
65,long class,653,200,47,20,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/ComparableVersion.java
