Line,Smell,Number of Lines,Threshold,File
51,long method,113,100,../input_projects/java_projects/maven-3-9-6/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/DefaultSettingsValidator.java
294,long method,169,100,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
225,long method,335,100,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
134,long method,127,100,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java
374,long method,156,100,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
91,long method,145,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
360,long method,169,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
531,long method,106,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
777,long method,122,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
246,long method,168,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
841,long method,124,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
1079,long method,159,100,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java
191,long method,124,100,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultArtifactDescriptorReader.java
127,long method,129,100,../input_projects/java_projects/maven-3-9-6/maven-resolver-provider/src/main/java/org/apache/maven/repository/internal/DefaultVersionResolver.java
48,long method,107,100,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java
180,long method,503,100,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java
291,long method,103,100,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java
104,long method,101,100,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/test/java/org/apache/maven/cli/transfer/FileSizeFormatTest.java
112,long method,183,100,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
1195,long method,245,100,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
108,long method,199,100,../input_projects/java_projects/maven-3-9-6/maven-plugin-api/src/main/java/org/apache/maven/plugin/descriptor/PluginDescriptorBuilder.java
386,long method,128,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/lifecycle/LifecycleExecutorTest.java
1194,long method,202,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
88,long method,103,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/DefaultBuildPluginManager.java
456,long method,130,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultMavenPluginManager.java
141,long method,197,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java
147,long method,214,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/internal/aether/DefaultRepositorySystemSessionFactory.java
56,long method,130,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/internal/aether/ReverseTreeRepositoryListener.java
68,long method,123,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectDependenciesResolver.java
420,long method,140,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
660,long method,203,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java
151,long method,134,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java
529,long method,149,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java
75,long method,122,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ProjectSorter.java
134,long method,114,100,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuildingHelper.java
