Line,Smell,Cause,Number of Conditions,Threshold,File
177,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
117,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientJava8TestUtil.java
75,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/RenegotiateTest.java
848,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
890,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1651,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1687,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1711,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1775,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1984,complex conditional,long if,8,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
3308,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
4570,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
4585,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
4611,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
4633,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
289,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
314,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
329,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
344,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
405,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
421,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
256,complex conditional,long if,9,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslErrorTest.java
170,complex conditional,long if,8,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslEngineTest.java
99,complex conditional,long switch,4,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniHandlerTest.java
489,complex conditional,long switch,10,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniHandlerTest.java
294,complex conditional,long switch,5,3,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/flow/FlowControlHandlerTest.java
211,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
285,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
305,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
327,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
452,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
557,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
268,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalTrafficShapingHandler.java
355,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
486,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
518,complex conditional,long if,12,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
655,complex conditional,long if,9,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
500,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/TrafficCounter.java
426,complex conditional,long if,7,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/AbstractTrafficShapingHandler.java
473,complex conditional,long if,7,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/AbstractTrafficShapingHandler.java
556,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/AbstractTrafficShapingHandler.java
117,complex conditional,long if,4,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ipfilter/IpSubnetFilter.java
169,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ipfilter/IpSubnetFilter.java
269,complex conditional,long if,5,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
355,complex conditional,long if,6,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
398,complex conditional,long if,8,3,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
