Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
67,long class,613,200,45,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/pcap/PcapWriteHandlerTest.java
524,long class,155,200,23,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/pcap/PcapWriteHandlerTest.java
63,long class,222,200,17,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteCanaryTest.java
30,long class,387,200,13,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteConverterTest.java
46,long class,280,200,51,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/EnhancedX509ExtendedTrustManagerTest.java
83,long class,625,200,45,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
77,long class,272,200,32,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientJava8TestUtil.java
35,long class,192,200,25,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ConscryptOpenSslEngineInteropTest.java
43,long class,363,200,40,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/JdkSslEngineTest.java
34,long class,165,200,22,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslConscryptSslEngineInteropTest.java
31,long class,224,200,28,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/JdkOpenSslEngineInteroptTest.java
107,long class,1776,200,139,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
37,long class,405,200,49,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslErrorStackAssertSSLEngine.java
45,long class,383,200,42,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslContextBuilderTest.java
68,long class,467,200,44,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ocsp/OcspTest.java
48,long class,393,200,32,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslCertificateCompressionTest.java
147,long class,4532,200,228,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
302,long class,162,200,21,20,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
