Line,Smell,Threshold,File
130,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientTest.java
152,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientTest.java
123,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteCanaryTest.java
133,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteCanaryTest.java
158,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
217,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
288,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
320,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
331,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
348,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
417,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
433,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
455,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
592,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
605,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
99,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientJava8TestUtil.java
151,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniClientJava8TestUtil.java
65,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngineTest.java
96,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngineTest.java
105,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/RenegotiateTest.java
708,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
728,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
842,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
854,long message chain,4,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
