Line,Smell,Number of Lines,Threshold,File
111,long method,126,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteCanaryTest.java
141,long method,149,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/CipherSuiteConverterTest.java
129,long method,151,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
405,long method,115,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
43,long method,101,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/RenegotiateTest.java
1442,long method,117,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
1714,long method,143,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SslHandlerTest.java
796,long method,126,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
965,long method,143,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1155,long method,119,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1458,long method,128,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1626,long method,123,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1952,long method,112,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
2499,long method,149,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
3607,long method,241,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
3850,long method,121,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
4545,long method,125,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
193,long method,133,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslPrivateKeyMethodTest.java
1174,long method,164,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/OpenSslEngineTest.java
485,long method,125,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SniHandlerTest.java
237,long method,118,100,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/timeout/IdleStateHandlerTest.java
300,long method,114,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslX509KeyManagerFactory.java
831,long method,123,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
1435,long method,123,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslHandler.java
98,long method,107,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslServerContext.java
67,long method,137,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslClientHelloHandler.java
209,long method,230,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java
88,long method,101,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslClientContext.java
751,long method,294,100,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
