Line,Smell,Number of Parameters,Threshold,File
35,long parameters,7,5,../input_projects/java_projects/netty/resolver-dns-classes-macos/src/main/java/io/netty/resolver/dns/macos/DnsResolver.java
568,long parameters,8,5,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ParameterizedSslHandlerTest.java
361,long parameters,6,5,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/ocsp/OcspTest.java
796,long parameters,8,5,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
1155,long parameters,9,5,../input_projects/java_projects/netty/handler/src/test/java/io/netty/handler/ssl/SSLEngineTest.java
39,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/TCPPacket.java
629,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/pcap/PcapWriteHandler.java
330,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalTrafficShapingHandler.java
693,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
184,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
211,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/GlobalChannelTrafficShapingHandler.java
177,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/ChannelTrafficShapingHandler.java
579,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/traffic/AbstractTrafficShapingHandler.java
502,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
222,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
241,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
259,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslContext.java
31,long parameters,10,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslContext.java
40,long parameters,10,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslContext.java
98,long parameters,12,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslServerContext.java
55,long parameters,17,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslServerContext.java
67,long parameters,17,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslServerContext.java
161,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/util/OpenJdkSelfSignedCertGenerator.java
220,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/util/SelfSignedCertificate.java
45,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/util/BouncyCastleSelfSignedCertGenerator.java
85,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
111,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
136,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
161,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
187,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
225,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
252,long parameters,9,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
278,long parameters,9,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
317,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
329,long parameters,17,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
341,long parameters,17,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslServerContext.java
183,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
212,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
277,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
311,long parameters,9,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
345,long parameters,9,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
387,long parameters,12,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
432,long parameters,13,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
453,long parameters,19,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
576,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
606,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
707,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
741,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
790,long parameters,12,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
813,long parameters,17,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
1330,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/SslContext.java
393,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslSessionCache.java
209,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslContext.java
88,long parameters,12,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslClientContext.java
61,long parameters,15,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslClientContext.java
107,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslClientContext.java
132,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslClientContext.java
171,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslClientContext.java
184,long parameters,15,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslClientContext.java
278,long parameters,10,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
110,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
137,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
164,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
172,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
213,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
253,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
265,long parameters,14,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslClientContext.java
93,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/OpenSslSession.java
1120,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
2495,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
227,long parameters,6,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ReferenceCountedOpenSslEngine.java
246,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/ExtendedOpenSslSession.java
307,long parameters,10,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
142,long parameters,7,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
169,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
195,long parameters,8,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
204,long parameters,10,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
242,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
282,long parameters,11,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
295,long parameters,16,5,../input_projects/java_projects/netty/handler/src/main/java/io/netty/handler/ssl/JdkSslServerContext.java
76,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/HttpServerKeepAliveHandlerTest.java
149,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/HttpServerKeepAliveHandlerTest.java
203,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/test/java/io/netty/handler/codec/http/HttpRequestEncoderTest.java
80,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyFrameCodec.java
90,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyFrameCodec.java
59,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdyFrameEncoder.java
67,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/spdy/SpdySession.java
204,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpObjectEncoder.java
139,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpClientCodec.java
158,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpClientCodec.java
178,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpClientCodec.java
197,long parameters,8,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpClientCodec.java
219,long parameters,9,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpClientCodec.java
170,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpRequestDecoder.java
182,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpRequestDecoder.java
257,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpObjectDecoder.java
275,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpObjectDecoder.java
295,long parameters,8,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpObjectDecoder.java
112,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpServerCodec.java
130,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/HttpServerCodec.java
59,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/HttpDataFactory.java
50,long parameters,8,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/DiskFileUpload.java
60,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/DiskFileUpload.java
251,long parameters,7,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/DefaultHttpDataFactory.java
65,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/MixedAttribute.java
49,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/MixedAttribute.java
87,long parameters,6,5,../input_projects/java_projects/netty/codec-http/src/main/java/io/netty/handler/codec/http/multipart/MixedAttribute.java
