Line,Smell,Cause,Number of Conditions,Threshold,File
128,complex conditional,long switch,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/FlushingIntegrationTests.java
63,complex conditional,long switch,7,3,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/Msg.java
47,complex conditional,long switch,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/SecondMsg.java
192,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/handler/AbstractHandlerMapping.java
144,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/handler/SimpleUrlHandlerMapping.java
158,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/HandlerResultHandlerSupport.java
123,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/PatternsRequestCondition.java
103,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/HeadersRequestCondition.java
244,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/ConsumesRequestCondition.java
118,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/AbstractNameValueExpression.java
180,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/RequestMethodsRequestCondition.java
113,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/CompositeRequestCondition.java
165,complex conditional,long if,5,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/CompositeRequestCondition.java
80,complex conditional,long if,4,3,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/RequestConditionHolder.java
