Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
39,long class,334,200,24,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/ProducesRequestConditionTests.java
49,long class,283,200,13,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
60,long class,310,200,34,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/view/freemarker/FreeMarkerMacroTests.java
70,long class,387,200,45,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/view/ViewResolutionResultHandlerTests.java
65,long class,231,200,20,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ModelInitializerTests.java
61,long class,218,200,16,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestBodyMethodArgumentResolverTests.java
68,long class,256,200,22,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
56,long class,472,200,38,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ModelAttributeMethodArgumentResolverTests.java
52,long class,207,200,12,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestHeaderMethodArgumentResolverTests.java
45,long class,213,200,27,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/JacksonHintsIntegrationTests.java
54,long class,375,200,38,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/CrossOriginAnnotationIntegrationTests.java
65,long class,293,200,26,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestPartMethodArgumentResolverTests.java
67,long class,239,200,34,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/MessageWriterResultHandlerTests.java
72,long class,366,200,41,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/MessageReaderArgumentResolverTests.java
65,long class,294,200,31,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/MultipartIntegrationTests.java
63,long class,247,200,24,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/HttpEntityMethodArgumentResolverTests.java
57,long class,242,200,15,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ControllerMethodResolverTests.java
60,long class,181,200,21,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestMappingHandlerMappingTests.java
81,long class,468,200,44,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ResponseEntityResultHandlerTests.java
56,long class,183,200,23,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ControllerAdviceTests.java
72,long class,695,200,84,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestMappingMessageConversionIntegrationTests.java
57,long class,204,200,20,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/HandlerMethodMappingTests.java
59,long class,241,200,30,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/InvocableHandlerMethodTests.java
85,long class,444,200,47,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/RequestMappingInfoHandlerMappingTests.java
97,long class,297,200,19,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/config/WebFluxConfigurationSupportTests.java
78,long class,399,200,28,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/BodyInsertersTests.java
75,long class,622,200,32,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultServerRequestTests.java
52,long class,378,200,31,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultServerResponseBuilderTests.java
60,long class,218,200,13,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultRenderingResponseTests.java
56,long class,223,200,19,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultEntityResponseBuilderTests.java
37,long class,253,200,16,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RequestPredicatesTests.java
56,long class,213,200,22,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DispatcherHandlerIntegrationTests.java
51,long class,269,200,18,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RouterFunctionsTests.java
40,long class,214,200,6,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RouterFunctionBuilderTests.java
61,long class,418,200,25,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultWebClientTests.java
89,long class,1217,200,51,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientIntegrationTests.java
61,long class,303,200,18,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultClientResponseTests.java
75,long class,399,200,26,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/function/BodyExtractorsTests.java
71,long class,652,200,44,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/resource/ResourceWebHandlerTests.java
25,long class,628,200,67,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/Msg.java
317,long class,328,200,31,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/Msg.java
9,long class,379,200,52,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/protobuf/SecondMsg.java
53,long class,224,200,17,20,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/socket/WebSocketIntegrationTests.java
49,long class,329,200,24,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/ProducesRequestCondition.java
50,long class,237,200,19,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/condition/ConsumesRequestCondition.java
65,long class,269,200,20,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/view/UrlBasedViewResolver.java
84,long class,279,200,16,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/view/ViewResolutionResultHandler.java
72,long class,243,200,15,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/view/freemarker/FreeMarkerView.java
56,long class,388,200,33,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/view/RequestContext.java
54,long class,268,200,22,20,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/view/RedirectView.java
