Line,Smell,Threshold,File
215,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
221,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
230,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
239,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
248,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
257,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
266,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
275,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
284,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
315,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/condition/RequestMappingInfoTests.java
192,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/view/ViewResolutionResultHandlerTests.java
96,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
102,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
113,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
119,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
132,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
145,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
155,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
181,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
187,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/SseIntegrationTests.java
89,long message chain,4,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/MultipartIntegrationTests.java
