Line,Smell,Number of Lines,Threshold,File
487,long method,123,100,../input_projects/java_projects/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/xstream/XStreamMarshaller.java
223,long method,117,100,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java
462,long method,140,100,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateTransactionManager.java
488,long method,113,100,../input_projects/java_projects/spring-framework/spring-orm/src/main/java/org/springframework/orm/hibernate5/LocalSessionFactoryBean.java
509,long method,104,100,../input_projects/java_projects/spring-framework/spring-jms/src/test/java/org/springframework/jms/core/JmsTemplateTests.java
563,long method,120,100,../input_projects/java_projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/connection/SingleConnectionFactory.java
313,long method,104,100,../input_projects/java_projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/connection/CachingConnectionFactory.java
114,long method,108,100,../input_projects/java_projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/config/JmsListenerContainerParser.java
127,long method,105,100,../input_projects/java_projects/spring-framework/spring-jms/src/main/java/org/springframework/jms/support/SimpleJmsHeaderMapper.java
488,long method,119,100,../input_projects/java_projects/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/simp/stomp/StompBrokerRelayMessageHandler.java
202,long method,125,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/test/java/org/springframework/jdbc/datasource/DataSourceJtaTransactionTests.java
458,long method,104,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/test/java/org/springframework/jdbc/datasource/DataSourceJtaTransactionTests.java
294,long method,128,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/StatementCreatorUtils.java
83,long method,107,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/namedparam/NamedParameterUtils.java
321,long method,150,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataContext.java
295,long method,106,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/GenericCallMetaDataProvider.java
152,long method,109,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/JdbcUtils.java
173,long method,117,100,../input_projects/java_projects/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/SQLErrorCodeSQLExceptionTranslator.java
1183,long method,308,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/EvaluationTests.java
1037,long method,195,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
1494,long method,173,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
1669,long method,113,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
1953,long method,180,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
2135,long method,180,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
2489,long method,180,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
2671,long method,180,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
2853,long method,180,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
3562,long method,280,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
3844,long method,143,100,../input_projects/java_projects/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/SpelCompilationCoverageTests.java
