Line,Smell,Number of Parameters,Threshold,File
260,long parameters,16,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestBodyMethodArgumentResolverTests.java
412,long parameters,14,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ModelAttributeMethodArgumentResolverTests.java
246,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestHeaderMethodArgumentResolverTests.java
185,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ErrorsMethodArgumentResolverTests.java
323,long parameters,17,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestPartMethodArgumentResolverTests.java
302,long parameters,13,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/MessageReaderArgumentResolverTests.java
295,long parameters,12,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/HttpEntityMethodArgumentResolverTests.java
119,long parameters,12,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/ServerWebExchangeMethodArgumentResolverTests.java
219,long parameters,11,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestParamMethodArgumentResolverTests.java
169,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-webflux/src/test/java/org/springframework/web/reactive/result/method/annotation/RequestAttributeMethodArgumentResolverTests.java
364,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/method/RequestMappingInfo.java
99,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/method/RequestMappingInfo.java
112,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/method/RequestMappingInfo.java
131,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/result/method/RequestMappingInfo.java
217,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-webflux/src/main/java/org/springframework/web/reactive/function/server/DefaultServerRequestBuilder.java
