Line,Smell,Cause,Number of Conditions,Threshold,File
193,complex conditional,long if,4,3,../input_projects/js_projects/chancejs/docs/chance.js
1120,complex conditional,long if,5,3,../input_projects/js_projects/chancejs/docs/chance.js
1219,complex conditional,long if,5,3,../input_projects/js_projects/chancejs/docs/chance.js
1281,complex conditional,long if,7,3,../input_projects/js_projects/chancejs/docs/chance.js
1913,complex conditional,long if,4,3,../input_projects/js_projects/chancejs/docs/chance.js
2096,complex conditional,long if,5,3,../input_projects/js_projects/chancejs/docs/chance.js
2352,complex conditional,long if,5,3,../input_projects/js_projects/chancejs/docs/chance.js
2456,complex conditional,long if,4,3,../input_projects/js_projects/chancejs/docs/chance.js
688,complex conditional,long switch,6,3,../input_projects/js_projects/chancejs/docs/chance.js
1532,complex conditional,long switch,9,3,../input_projects/js_projects/chancejs/docs/chance.js
1667,complex conditional,long switch,6,3,../input_projects/js_projects/chancejs/docs/chance.js
6984,complex conditional,long switch,5,3,../input_projects/js_projects/chancejs/docs/chance.js
198,complex conditional,long if,6,3,../input_projects/js_projects/chancejs/chance.js
476,complex conditional,long switch,6,3,../input_projects/js_projects/chancejs/chance.js
891,complex conditional,long switch,6,3,../input_projects/js_projects/chancejs/chance.js
1767,complex conditional,long switch,4,3,../input_projects/js_projects/chancejs/chance.js
1803,complex conditional,long switch,4,3,../input_projects/js_projects/chancejs/chance.js
1841,complex conditional,long switch,9,3,../input_projects/js_projects/chancejs/chance.js
1995,complex conditional,long switch,7,3,../input_projects/js_projects/chancejs/chance.js
7445,complex conditional,long switch,5,3,../input_projects/js_projects/chancejs/chance.js
