Line,Smell,Cause,Number of Conditions,Threshold,File
226,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/core/core.layouts.js
49,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
139,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
646,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
695,complex conditional,long if,9,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
837,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1035,complex conditional,long if,11,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1163,complex conditional,long if,11,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1197,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1221,complex conditional,long if,12,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1265,complex conditional,long if,8,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1335,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1355,complex conditional,long if,13,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
1485,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/core/core.scale.js
364,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/core/core.datasetController.js
448,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/core/core.datasetController.js
25,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/core/core.interaction.js
237,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.legend.js
323,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.legend.js
406,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.legend.js
537,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.legend.js
85,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.filler/filler.drawing.js
82,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.filler/filler.options.js
104,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.filler/filler.options.js
99,complex conditional,long if,8,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.decimation.js
244,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.tooltip.js
306,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.tooltip.js
358,complex conditional,long if,5,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.tooltip.js
700,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.tooltip.js
1004,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/plugins/plugin.tooltip.js
76,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/platform/platform.dom.js
69,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.linearbase.js
109,complex conditional,long if,6,3,../input_projects/js_projects/Chart.js/src/scales/scale.linearbase.js
133,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.linearbase.js
189,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.linearbase.js
16,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.timeseries.js
84,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.category.js
422,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/scales/scale.time.js
155,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/elements/element.line.js
128,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/controllers/controller.polarArea.js
183,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/controllers/controller.polarArea.js
71,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/controllers/controller.scatter.js
218,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/controllers/controller.bar.js
578,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/controllers/controller.bar.js
207,complex conditional,long if,4,3,../input_projects/js_projects/Chart.js/src/helpers/helpers.segment.js
