Line,Smell,Number of Lines,Threshold,File
5,long method,567,100,../input_projects/js_projects/Chart.js/test/specs/core.layouts.tests.js
242,long method,134,100,../input_projects/js_projects/Chart.js/test/specs/core.layouts.tests.js
378,long method,163,100,../input_projects/js_projects/Chart.js/test/specs/core.layouts.tests.js
418,long method,122,100,../input_projects/js_projects/Chart.js/test/specs/core.layouts.tests.js
1,long method,1723,100,../input_projects/js_projects/Chart.js/test/specs/controller.bar.tests.js
1,long method,182,100,../input_projects/js_projects/Chart.js/test/specs/helpers.curve.tests.js
50,long method,132,100,../input_projects/js_projects/Chart.js/test/specs/helpers.curve.tests.js
1,long method,1118,100,../input_projects/js_projects/Chart.js/test/specs/controller.line.tests.js
756,long method,124,100,../input_projects/js_projects/Chart.js/test/specs/controller.line.tests.js
5,long method,353,100,../input_projects/js_projects/Chart.js/test/specs/plugin.title.tests.js
161,long method,101,100,../input_projects/js_projects/Chart.js/test/specs/plugin.title.tests.js
693,long method,126,100,../input_projects/js_projects/Chart.js/test/specs/core.scale.tests.js
5,long method,815,100,../input_projects/js_projects/Chart.js/test/specs/core.scale.tests.js
275,long method,127,100,../input_projects/js_projects/Chart.js/test/specs/core.scale.tests.js
467,long method,190,100,../input_projects/js_projects/Chart.js/test/specs/core.scale.tests.js
1,long method,914,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
58,long method,137,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
197,long method,126,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
325,long method,327,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
326,long method,213,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
541,long method,110,100,../input_projects/js_projects/Chart.js/test/specs/core.interaction.tests.js
1,long method,876,100,../input_projects/js_projects/Chart.js/test/specs/helpers.config.tests.js
4,long method,518,100,../input_projects/js_projects/Chart.js/test/specs/helpers.config.tests.js
111,long method,373,100,../input_projects/js_projects/Chart.js/test/specs/helpers.config.tests.js
370,long method,113,100,../input_projects/js_projects/Chart.js/test/specs/helpers.config.tests.js
524,long method,352,100,../input_projects/js_projects/Chart.js/test/specs/helpers.config.tests.js
6,long method,650,100,../input_projects/js_projects/Chart.js/test/specs/scale.radialLinear.tests.js
1,long method,204,100,../input_projects/js_projects/Chart.js/test/specs/controller.scatter.tests.js
5,long method,1203,100,../input_projects/js_projects/Chart.js/test/specs/scale.logarithmic.tests.js
755,long method,149,100,../input_projects/js_projects/Chart.js/test/specs/scale.logarithmic.tests.js
906,long method,132,100,../input_projects/js_projects/Chart.js/test/specs/scale.logarithmic.tests.js
1040,long method,118,100,../input_projects/js_projects/Chart.js/test/specs/scale.logarithmic.tests.js
2,long method,1334,100,../input_projects/js_projects/Chart.js/test/specs/scale.time.tests.js
578,long method,182,100,../input_projects/js_projects/Chart.js/test/specs/scale.time.tests.js
762,long method,139,100,../input_projects/js_projects/Chart.js/test/specs/scale.time.tests.js
763,long method,137,100,../input_projects/js_projects/Chart.js/test/specs/scale.time.tests.js
1,long method,446,100,../input_projects/js_projects/Chart.js/test/specs/controller.doughnut.tests.js
49,long method,102,100,../input_projects/js_projects/Chart.js/test/specs/controller.doughnut.tests.js
1,long method,298,100,../input_projects/js_projects/Chart.js/test/specs/plugin.filler.tests.js
13,long method,182,100,../input_projects/js_projects/Chart.js/test/specs/plugin.filler.tests.js
197,long method,101,100,../input_projects/js_projects/Chart.js/test/specs/plugin.filler.tests.js
1,long method,395,100,../input_projects/js_projects/Chart.js/test/specs/controller.polarArea.tests.js
5,long method,105,100,../input_projects/js_projects/Chart.js/test/specs/core.ticks.tests.js
1,long method,454,100,../input_projects/js_projects/Chart.js/test/specs/controller.radar.tests.js
103,long method,150,100,../input_projects/js_projects/Chart.js/test/specs/controller.radar.tests.js
1,long method,174,100,../input_projects/js_projects/Chart.js/test/specs/core.animations.tests.js
2,long method,1183,100,../input_projects/js_projects/Chart.js/test/specs/plugin.legend.tests.js
1062,long method,122,100,../input_projects/js_projects/Chart.js/test/specs/plugin.legend.tests.js
3,long method,136,100,../input_projects/js_projects/Chart.js/test/specs/helpers.math.tests.js
3,long method,429,100,../input_projects/js_projects/Chart.js/test/specs/platform.dom.tests.js
3,long method,253,100,../input_projects/js_projects/Chart.js/test/specs/helpers.options.tests.js
1,long method,425,100,../input_projects/js_projects/Chart.js/test/specs/controller.bubble.tests.js
254,long method,107,100,../input_projects/js_projects/Chart.js/test/specs/controller.bubble.tests.js
1,long method,1307,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
252,long method,115,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
953,long method,111,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
1066,long method,114,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
1182,long method,125,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
1183,long method,123,100,../input_projects/js_projects/Chart.js/test/specs/core.datasetController.tests.js
3,long method,337,100,../input_projects/js_projects/Chart.js/test/specs/helpers.canvas.tests.js
112,long method,227,100,../input_projects/js_projects/Chart.js/test/specs/helpers.canvas.tests.js
5,long method,1796,100,../input_projects/js_projects/Chart.js/test/specs/plugin.tooltip.tests.js
35,long method,182,100,../input_projects/js_projects/Chart.js/test/specs/plugin.tooltip.tests.js
