Line,Smell,Threshold,File
140,long message chain,4,../input_projects/js_projects/express/test/express.json.js
152,long message chain,4,../input_projects/js_projects/express/test/express.json.js
313,long message chain,4,../input_projects/js_projects/express/test/express.json.js
482,long message chain,4,../input_projects/js_projects/express/test/express.json.js
572,long message chain,4,../input_projects/js_projects/express/test/express.json.js
583,long message chain,4,../input_projects/js_projects/express/test/express.json.js
615,long message chain,4,../input_projects/js_projects/express/test/express.json.js
625,long message chain,4,../input_projects/js_projects/express/test/express.json.js
319,long message chain,4,../input_projects/js_projects/express/test/res.sendFile.js
347,long message chain,4,../input_projects/js_projects/express/test/res.sendFile.js
512,long message chain,4,../input_projects/js_projects/express/test/res.sendFile.js
674,long message chain,4,../input_projects/js_projects/express/test/res.sendFile.js
1116,long message chain,4,../input_projects/js_projects/express/test/res.sendFile.js
48,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
57,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
191,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
221,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
273,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
366,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
383,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
392,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
421,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
438,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
447,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
676,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
687,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
719,long message chain,4,../input_projects/js_projects/express/test/express.urlencoded.js
60,long message chain,4,../input_projects/js_projects/express/test/express.raw.js
406,long message chain,4,../input_projects/js_projects/express/test/express.raw.js
417,long message chain,4,../input_projects/js_projects/express/test/express.raw.js
449,long message chain,4,../input_projects/js_projects/express/test/express.raw.js
56,long message chain,4,../input_projects/js_projects/express/test/express.text.js
128,long message chain,4,../input_projects/js_projects/express/test/express.text.js
431,long message chain,4,../input_projects/js_projects/express/test/express.text.js
442,long message chain,4,../input_projects/js_projects/express/test/express.text.js
474,long message chain,4,../input_projects/js_projects/express/test/express.text.js
33,long message chain,4,../input_projects/js_projects/express/test/middleware.basic.js
87,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
104,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
119,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
135,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
167,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
183,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
200,long message chain,4,../input_projects/js_projects/express/test/res.redirect.js
144,long message chain,4,../input_projects/js_projects/express/test/res.download.js
165,long message chain,4,../input_projects/js_projects/express/test/res.download.js
187,long message chain,4,../input_projects/js_projects/express/test/res.download.js
299,long message chain,4,../input_projects/js_projects/express/test/res.download.js
316,long message chain,4,../input_projects/js_projects/express/test/res.download.js
388,long message chain,4,../input_projects/js_projects/express/test/res.download.js
428,long message chain,4,../input_projects/js_projects/express/test/res.download.js
448,long message chain,4,../input_projects/js_projects/express/test/res.download.js
52,long message chain,4,../input_projects/js_projects/express/test/acceptance/web-service.js
81,long message chain,4,../input_projects/js_projects/express/test/acceptance/web-service.js
26,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
41,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
74,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
91,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
100,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
109,long message chain,4,../input_projects/js_projects/express/test/acceptance/auth.js
55,long message chain,4,../input_projects/js_projects/express/test/acceptance/cookies.js
8,long message chain,4,../input_projects/js_projects/express/test/acceptance/ejs.js
49,long message chain,4,../input_projects/js_projects/express/test/acceptance/mvc.js
68,long message chain,4,../input_projects/js_projects/express/test/acceptance/mvc.js
83,long message chain,4,../input_projects/js_projects/express/test/res.location.js
159,long message chain,4,../input_projects/js_projects/express/test/express.static.js
177,long message chain,4,../input_projects/js_projects/express/test/express.static.js
190,long message chain,4,../input_projects/js_projects/express/test/res.send.js
277,long message chain,4,../input_projects/js_projects/express/test/res.send.js
310,long message chain,4,../input_projects/js_projects/express/test/res.send.js
193,long message chain,4,../input_projects/js_projects/express/test/app.use.js
249,long message chain,4,../input_projects/js_projects/express/test/app.use.js
314,long message chain,4,../input_projects/js_projects/express/test/app.use.js
384,long message chain,4,../input_projects/js_projects/express/test/app.use.js
412,long message chain,4,../input_projects/js_projects/express/test/app.use.js
440,long message chain,4,../input_projects/js_projects/express/test/app.use.js
490,long message chain,4,../input_projects/js_projects/express/test/app.use.js
497,long message chain,4,../input_projects/js_projects/express/test/app.use.js
