Line,Smell,Number of Lines,Threshold,File
9,long method,265,100,../input_projects/js_projects/express/test/Route.js
170,long method,103,100,../input_projects/js_projects/express/test/Route.js
8,long method,351,100,../input_projects/js_projects/express/test/res.render.js
9,long method,193,100,../input_projects/js_projects/express/test/res.render.js
13,long method,735,100,../input_projects/js_projects/express/test/express.json.js
421,long method,108,100,../input_projects/js_projects/express/test/express.json.js
531,long method,102,100,../input_projects/js_projects/express/test/express.json.js
6,long method,163,100,../input_projects/js_projects/express/test/req.is.js
6,long method,182,100,../input_projects/js_projects/express/test/req.hostname.js
7,long method,180,100,../input_projects/js_projects/express/test/req.hostname.js
18,long method,1376,100,../input_projects/js_projects/express/test/res.sendFile.js
19,long method,145,100,../input_projects/js_projects/express/test/res.sendFile.js
166,long method,161,100,../input_projects/js_projects/express/test/res.sendFile.js
329,long method,563,100,../input_projects/js_projects/express/test/res.sendFile.js
684,long method,149,100,../input_projects/js_projects/express/test/res.sendFile.js
894,long method,230,100,../input_projects/js_projects/express/test/res.sendFile.js
1126,long method,253,100,../input_projects/js_projects/express/test/res.sendFile.js
1276,long method,102,100,../input_projects/js_projects/express/test/res.sendFile.js
13,long method,803,100,../input_projects/js_projects/express/test/express.urlencoded.js
116,long method,122,100,../input_projects/js_projects/express/test/express.urlencoded.js
345,long method,110,100,../input_projects/js_projects/express/test/express.urlencoded.js
8,long method,358,100,../input_projects/js_projects/express/test/app.render.js
9,long method,281,100,../input_projects/js_projects/express/test/app.render.js
13,long method,511,100,../input_projects/js_projects/express/test/express.raw.js
13,long method,565,100,../input_projects/js_projects/express/test/express.text.js
7,long method,204,100,../input_projects/js_projects/express/test/res.redirect.js
7,long method,222,100,../input_projects/js_projects/express/test/res.json.js
8,long method,177,100,../input_projects/js_projects/express/test/res.json.js
6,long method,201,100,../input_projects/js_projects/express/test/config.js
18,long method,472,100,../input_projects/js_projects/express/test/res.download.js
154,long method,205,100,../input_projects/js_projects/express/test/res.download.js
174,long method,113,100,../input_projects/js_projects/express/test/res.download.js
7,long method,136,100,../input_projects/js_projects/express/test/app.request.js
8,long method,134,100,../input_projects/js_projects/express/test/app.request.js
6,long method,167,100,../input_projects/js_projects/express/test/req.subdomains.js
7,long method,165,100,../input_projects/js_projects/express/test/req.subdomains.js
8,long method,379,100,../input_projects/js_projects/express/test/res.jsonp.js
9,long method,320,100,../input_projects/js_projects/express/test/res.jsonp.js
9,long method,631,100,../input_projects/js_projects/express/test/Router.js
289,long method,120,100,../input_projects/js_projects/express/test/Router.js
8,long method,109,100,../input_projects/js_projects/express/test/acceptance/auth.js
5,long method,127,100,../input_projects/js_projects/express/test/acceptance/mvc.js
7,long method,136,100,../input_projects/js_projects/express/test/app.response.js
8,long method,134,100,../input_projects/js_projects/express/test/app.response.js
7,long method,102,100,../input_projects/js_projects/express/test/req.query.js
15,long method,786,100,../input_projects/js_projects/express/test/express.static.js
16,long method,118,100,../input_projects/js_projects/express/test/express.static.js
246,long method,155,100,../input_projects/js_projects/express/test/express.static.js
6,long method,150,100,../input_projects/js_projects/express/test/req.host.js
7,long method,148,100,../input_projects/js_projects/express/test/req.host.js
6,long method,107,100,../input_projects/js_projects/express/test/req.protocol.js
7,long method,105,100,../input_projects/js_projects/express/test/req.protocol.js
8,long method,272,100,../input_projects/js_projects/express/test/res.cookie.js
55,long method,224,100,../input_projects/js_projects/express/test/res.cookie.js
6,long method,118,100,../input_projects/js_projects/express/test/res.set.js
10,long method,586,100,../input_projects/js_projects/express/test/res.send.js
391,long method,204,100,../input_projects/js_projects/express/test/res.send.js
10,long method,192,100,../input_projects/js_projects/express/test/res.status.js
11,long method,190,100,../input_projects/js_projects/express/test/res.status.js
9,long method,1102,100,../input_projects/js_projects/express/test/app.router.js
265,long method,134,100,../input_projects/js_projects/express/test/app.router.js
401,long method,152,100,../input_projects/js_projects/express/test/app.router.js
414,long method,138,100,../input_projects/js_projects/express/test/app.router.js
587,long method,164,100,../input_projects/js_projects/express/test/app.router.js
8,long method,534,100,../input_projects/js_projects/express/test/app.use.js
21,long method,102,100,../input_projects/js_projects/express/test/app.use.js
125,long method,131,100,../input_projects/js_projects/express/test/app.use.js
258,long method,283,100,../input_projects/js_projects/express/test/app.use.js
7,long method,358,100,../input_projects/js_projects/express/test/app.param.js
81,long method,283,100,../input_projects/js_projects/express/test/app.param.js
6,long method,119,100,../input_projects/js_projects/express/test/req.accepts.js
111,long method,125,100,../input_projects/js_projects/express/lib/response.js
177,long method,114,100,../input_projects/js_projects/express/lib/router/index.js
136,long method,195,100,../input_projects/js_projects/express/lib/router/index.js
