Line,Smell,Cause,Number of Conditions,Threshold,File
150,complex conditional,long if,4,3,../input_projects/js_projects/lodash/test/test.js
722,complex conditional,long if,4,3,../input_projects/js_projects/lodash/test/test.js
1765,complex conditional,long if,10,3,../input_projects/js_projects/lodash/test/test.js
5781,complex conditional,long if,5,3,../input_projects/js_projects/lodash/test/test.js
5809,complex conditional,long if,5,3,../input_projects/js_projects/lodash/test/test.js
13928,complex conditional,long if,4,3,../input_projects/js_projects/lodash/test/test.js
20549,complex conditional,long if,5,3,../input_projects/js_projects/lodash/test/test.js
20592,complex conditional,long if,5,3,../input_projects/js_projects/lodash/test/test.js
1683,complex conditional,long switch,9,3,../input_projects/js_projects/lodash/test/test.js
1772,complex conditional,long switch,8,3,../input_projects/js_projects/lodash/test/test.js
1948,complex conditional,long switch,6,3,../input_projects/js_projects/lodash/test/test.js
66,complex conditional,long switch,5,3,../input_projects/js_projects/lodash/test/asset/test-ui.js
77,complex conditional,long switch,5,3,../input_projects/js_projects/lodash/test/asset/test-ui.js
126,complex conditional,long switch,6,3,../input_projects/js_projects/lodash/test/asset/test-ui.js
140,complex conditional,long switch,5,3,../input_projects/js_projects/lodash/test/asset/test-ui.js
134,complex conditional,long if,4,3,../input_projects/js_projects/lodash/test/saucelabs.js
147,complex conditional,long if,6,3,../input_projects/js_projects/lodash/test/saucelabs.js
162,complex conditional,long if,8,3,../input_projects/js_projects/lodash/test/saucelabs.js
382,complex conditional,long if,4,3,../input_projects/js_projects/lodash/test/saucelabs.js
459,complex conditional,long if,6,3,../input_projects/js_projects/lodash/test/saucelabs.js
152,complex conditional,long switch,4,3,../input_projects/js_projects/lodash/test/saucelabs.js
167,complex conditional,long switch,6,3,../input_projects/js_projects/lodash/test/saucelabs.js
2,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.fp.js
225,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.fp.js
237,complex conditional,long if,5,3,../input_projects/js_projects/lodash/dist/lodash.fp.js
259,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.core.js
489,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.core.js
652,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.core.js
1220,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.core.js
3805,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.core.js
1252,complex conditional,long switch,6,3,../input_projects/js_projects/lodash/dist/lodash.core.js
1440,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.js
1635,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.js
2163,complex conditional,long if,4,3,../input_projects/js_projects/lodash/dist/lodash.js
