Line,Smell,Threshold,File
2153,long message chain,4,../input_projects/js_projects/lodash/test/test.js
2168,long message chain,4,../input_projects/js_projects/lodash/test/test.js
2179,long message chain,4,../input_projects/js_projects/lodash/test/test.js
2782,long message chain,4,../input_projects/js_projects/lodash/test/test.js
2795,long message chain,4,../input_projects/js_projects/lodash/test/test.js
3236,long message chain,4,../input_projects/js_projects/lodash/test/test.js
4029,long message chain,4,../input_projects/js_projects/lodash/test/test.js
4369,long message chain,4,../input_projects/js_projects/lodash/test/test.js
4374,long message chain,4,../input_projects/js_projects/lodash/test/test.js
4457,long message chain,4,../input_projects/js_projects/lodash/test/test.js
4462,long message chain,4,../input_projects/js_projects/lodash/test/test.js
6362,long message chain,4,../input_projects/js_projects/lodash/test/test.js
6469,long message chain,4,../input_projects/js_projects/lodash/test/test.js
11242,long message chain,4,../input_projects/js_projects/lodash/test/test.js
13064,long message chain,4,../input_projects/js_projects/lodash/test/test.js
14025,long message chain,4,../input_projects/js_projects/lodash/test/test.js
18688,long message chain,4,../input_projects/js_projects/lodash/test/test.js
18766,long message chain,4,../input_projects/js_projects/lodash/test/test.js
18771,long message chain,4,../input_projects/js_projects/lodash/test/test.js
18848,long message chain,4,../input_projects/js_projects/lodash/test/test.js
18853,long message chain,4,../input_projects/js_projects/lodash/test/test.js
22290,long message chain,4,../input_projects/js_projects/lodash/test/test.js
538,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/objects.js
539,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/objects.js
766,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/objects.js
13,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/chaining.js
28,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/chaining.js
40,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/chaining.js
52,long message chain,4,../input_projects/js_projects/lodash/vendor/underscore/test/chaining.js
134,long message chain,4,../input_projects/js_projects/lodash/vendor/backbone/test/model.js
1553,long message chain,4,../input_projects/js_projects/lodash/vendor/backbone/test/collection.js
1554,long message chain,4,../input_projects/js_projects/lodash/vendor/backbone/test/collection.js
1559,long message chain,4,../input_projects/js_projects/lodash/vendor/backbone/test/collection.js
1560,long message chain,4,../input_projects/js_projects/lodash/vendor/backbone/test/collection.js
