Line,Smell,Number of Lines,Threshold,File
1,long method,23360,100,../input_projects/js_projects/lodash/test/test.js
637,long method,159,100,../input_projects/js_projects/lodash/test/test.js
1283,long method,154,100,../input_projects/js_projects/lodash/test/test.js
1558,long method,250,100,../input_projects/js_projects/lodash/test/test.js
2323,long method,438,100,../input_projects/js_projects/lodash/test/test.js
2456,long method,255,100,../input_projects/js_projects/lodash/test/test.js
2932,long method,166,100,../input_projects/js_projects/lodash/test/test.js
3342,long method,126,100,../input_projects/js_projects/lodash/test/test.js
3474,long method,127,100,../input_projects/js_projects/lodash/test/test.js
3651,long method,215,100,../input_projects/js_projects/lodash/test/test.js
4921,long method,159,100,../input_projects/js_projects/lodash/test/test.js
5118,long method,154,100,../input_projects/js_projects/lodash/test/test.js
5363,long method,105,100,../input_projects/js_projects/lodash/test/test.js
5474,long method,112,100,../input_projects/js_projects/lodash/test/test.js
5653,long method,391,100,../input_projects/js_projects/lodash/test/test.js
6527,long method,160,100,../input_projects/js_projects/lodash/test/test.js
6797,long method,153,100,../input_projects/js_projects/lodash/test/test.js
7452,long method,129,100,../input_projects/js_projects/lodash/test/test.js
8010,long method,661,100,../input_projects/js_projects/lodash/test/test.js
8677,long method,140,100,../input_projects/js_projects/lodash/test/test.js
9120,long method,316,100,../input_projects/js_projects/lodash/test/test.js
9442,long method,136,100,../input_projects/js_projects/lodash/test/test.js
10459,long method,151,100,../input_projects/js_projects/lodash/test/test.js
10616,long method,517,100,../input_projects/js_projects/lodash/test/test.js
11256,long method,154,100,../input_projects/js_projects/lodash/test/test.js
11723,long method,138,100,../input_projects/js_projects/lodash/test/test.js
11987,long method,341,100,../input_projects/js_projects/lodash/test/test.js
12334,long method,377,100,../input_projects/js_projects/lodash/test/test.js
12763,long method,241,100,../input_projects/js_projects/lodash/test/test.js
13010,long method,330,100,../input_projects/js_projects/lodash/test/test.js
13372,long method,149,100,../input_projects/js_projects/lodash/test/test.js
13527,long method,148,100,../input_projects/js_projects/lodash/test/test.js
13795,long method,243,100,../input_projects/js_projects/lodash/test/test.js
14938,long method,114,100,../input_projects/js_projects/lodash/test/test.js
15078,long method,202,100,../input_projects/js_projects/lodash/test/test.js
15450,long method,123,100,../input_projects/js_projects/lodash/test/test.js
15579,long method,121,100,../input_projects/js_projects/lodash/test/test.js
15793,long method,122,100,../input_projects/js_projects/lodash/test/test.js
15921,long method,111,100,../input_projects/js_projects/lodash/test/test.js
16452,long method,120,100,../input_projects/js_projects/lodash/test/test.js
16752,long method,162,100,../input_projects/js_projects/lodash/test/test.js
16982,long method,123,100,../input_projects/js_projects/lodash/test/test.js
17383,long method,199,100,../input_projects/js_projects/lodash/test/test.js
17696,long method,162,100,../input_projects/js_projects/lodash/test/test.js
18867,long method,109,100,../input_projects/js_projects/lodash/test/test.js
18982,long method,127,100,../input_projects/js_projects/lodash/test/test.js
19162,long method,553,100,../input_projects/js_projects/lodash/test/test.js
19801,long method,213,100,../input_projects/js_projects/lodash/test/test.js
20020,long method,190,100,../input_projects/js_projects/lodash/test/test.js
20497,long method,219,100,../input_projects/js_projects/lodash/test/test.js
20886,long method,207,100,../input_projects/js_projects/lodash/test/test.js
21099,long method,104,100,../input_projects/js_projects/lodash/test/test.js
21209,long method,145,100,../input_projects/js_projects/lodash/test/test.js
21546,long method,125,100,../input_projects/js_projects/lodash/test/test.js
21804,long method,110,100,../input_projects/js_projects/lodash/test/test.js
22905,long method,113,100,../input_projects/js_projects/lodash/test/test.js
23146,long method,204,100,../input_projects/js_projects/lodash/test/test.js
1,long method,169,100,../input_projects/js_projects/lodash/test/asset/test-ui.js
1,long method,895,100,../input_projects/js_projects/lodash/test/test-fp.js
720,long method,118,100,../input_projects/js_projects/lodash/test/test-fp.js
725,long method,112,100,../input_projects/js_projects/lodash/test/test-fp.js
88,long method,196,100,../input_projects/js_projects/lodash/dist/lodash.fp.js
10,long method,451,100,../input_projects/js_projects/lodash/dist/lodash.fp.js
74,long method,215,100,../input_projects/js_projects/lodash/dist/lodash.fp.js
291,long method,168,100,../input_projects/js_projects/lodash/dist/lodash.fp.js
10,long method,3815,100,../input_projects/js_projects/lodash/dist/lodash.core.js
10,long method,215,100,../input_projects/js_projects/lodash/dist/mapping.fp.js
55,long method,168,100,../input_projects/js_projects/lodash/dist/mapping.fp.js
1240,long method,13127,100,../input_projects/js_projects/lodash/dist/lodash.js
8419,long method,113,100,../input_projects/js_projects/lodash/dist/lodash.js
12328,long method,104,100,../input_projects/js_projects/lodash/dist/lodash.js
10,long method,14390,100,../input_projects/js_projects/lodash/dist/lodash.js
13,long method,196,100,../input_projects/js_projects/lodash/lib/fp/baseConvert.js
1,long method,130,100,../input_projects/js_projects/lodash/perf/asset/perf-ui.js
1,long method,1982,100,../input_projects/js_projects/lodash/perf/perf.js
1240,long method,13127,100,../input_projects/js_projects/lodash/lodash.js
8419,long method,113,100,../input_projects/js_projects/lodash/lodash.js
12328,long method,104,100,../input_projects/js_projects/lodash/lodash.js
10,long method,14390,100,../input_projects/js_projects/lodash/lodash.js
12221,long method,124,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
1,long method,31175,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
27,long method,6075,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
81,long method,115,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
313,long method,251,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
6106,long method,123,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
6233,long method,1357,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
6755,long method,122,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
7594,long method,973,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
8571,long method,644,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
9219,long method,2364,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
9392,long method,288,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
9861,long method,283,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
10146,long method,313,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
11600,long method,177,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
11620,long method,144,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
11782,long method,131,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
12160,long method,323,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
12487,long method,139,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
12511,long method,104,100,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
