Line,Smell,Number of Parameters,Threshold,File
747,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.core.js
1194,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.core.js
1251,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.core.js
1290,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.core.js
2187,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
2726,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
2989,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
4128,long parameters,10,5,../input_projects/js_projects/lodash/dist/lodash.js
4301,long parameters,10,5,../input_projects/js_projects/lodash/dist/lodash.js
4386,long parameters,8,5,../input_projects/js_projects/lodash/dist/lodash.js
4450,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
4518,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
4576,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
5099,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
12364,long parameters,6,5,../input_projects/js_projects/lodash/dist/lodash.js
2187,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
2726,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
2989,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
4128,long parameters,10,5,../input_projects/js_projects/lodash/lodash.js
4301,long parameters,10,5,../input_projects/js_projects/lodash/lodash.js
4386,long parameters,8,5,../input_projects/js_projects/lodash/lodash.js
4450,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
4518,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
4576,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
5099,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
12364,long parameters,6,5,../input_projects/js_projects/lodash/lodash.js
13541,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
13577,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
13033,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
13077,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
21671,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
21683,long parameters,7,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
21693,long parameters,8,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
22019,long parameters,8,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
22056,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
25254,long parameters,7,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
27036,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
30572,long parameters,6,5,../input_projects/js_projects/lodash/vendor/firebug-lite/src/firebug-lite-debug.js
