Line,Smell,Cause,Number of Conditions,Threshold,File
298,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
381,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
1167,complex conditional,long if,6,3,../input_projects/js_projects/moment/moment.js
1229,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
1255,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
1292,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
1665,complex conditional,long if,12,3,../input_projects/js_projects/moment/moment.js
1757,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
2181,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
2205,complex conditional,long if,8,3,../input_projects/js_projects/moment/moment.js
2259,complex conditional,long if,9,3,../input_projects/js_projects/moment/moment.js
2335,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
2439,complex conditional,long if,10,3,../input_projects/js_projects/moment/moment.js
2747,complex conditional,long if,7,3,../input_projects/js_projects/moment/moment.js
2854,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
2908,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
2965,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
3030,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
3051,complex conditional,long if,7,3,../input_projects/js_projects/moment/moment.js
3199,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
3387,complex conditional,long if,10,3,../input_projects/js_projects/moment/moment.js
3455,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
3534,complex conditional,long if,8,3,../input_projects/js_projects/moment/moment.js
3809,complex conditional,long if,5,3,../input_projects/js_projects/moment/moment.js
4445,complex conditional,long if,11,3,../input_projects/js_projects/moment/moment.js
5098,complex conditional,long if,4,3,../input_projects/js_projects/moment/moment.js
5323,complex conditional,long if,12,3,../input_projects/js_projects/moment/moment.js
942,complex conditional,long switch,9,3,../input_projects/js_projects/moment/moment.js
974,complex conditional,long switch,7,3,../input_projects/js_projects/moment/moment.js
3927,complex conditional,long switch,9,3,../input_projects/js_projects/moment/moment.js
4166,complex conditional,long switch,10,3,../input_projects/js_projects/moment/moment.js
4229,complex conditional,long switch,10,3,../input_projects/js_projects/moment/moment.js
4446,complex conditional,long switch,8,3,../input_projects/js_projects/moment/moment.js
5337,complex conditional,long switch,7,3,../input_projects/js_projects/moment/moment.js
14,complex conditional,long if,4,3,../input_projects/js_projects/moment/tasks/qtest.js
41,complex conditional,long switch,8,3,../input_projects/js_projects/moment/locale/pl.js
91,complex conditional,long switch,5,3,../input_projects/js_projects/moment/locale/pl.js
110,complex conditional,long switch,4,3,../input_projects/js_projects/moment/locale/pl.js
15,complex conditional,long switch,13,3,../input_projects/js_projects/moment/locale/mn.js
98,complex conditional,long switch,4,3,../input_projects/js_projects/moment/locale/mn.js
42,complex conditional,long if,26,3,../input_projects/js_projects/moment/locale/mr.js
194,complex conditional,long if,5,3,../input_projects/js_projects/moment/locale/mr.js
43,complex conditional,long switch,12,3,../input_projects/js_projects/moment/locale/mr.js
82,complex conditional,long switch,12,3,../input_projects/js_projects/moment/locale/mr.js
108,complex conditional,long if,5,3,../input_projects/js_projects/moment/locale/gom-latn.js
119,complex conditional,long if,5,3,../input_projects/js_projects/moment/locale/gom-latn.js
85,complex conditional,long switch,8,3,../input_projects/js_projects/moment/locale/gom-latn.js
64,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/is.js
24,complex conditional,long switch,24,3,../input_projects/js_projects/moment/locale/is.js
22,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/sl.js
35,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/sl.js
72,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/sl.js
16,complex conditional,long switch,29,3,../input_projects/js_projects/moment/locale/sl.js
124,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/sl.js
140,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/sl.js
61,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/ko.js
16,complex conditional,long switch,19,3,../input_projects/js_projects/moment/locale/hr.js
109,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/hr.js
125,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/hr.js
35,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/ms.js
32,complex conditional,long switch,12,3,../input_projects/js_projects/moment/locale/fi.js
122,complex conditional,long if,10,3,../input_projects/js_projects/moment/locale/ru.js
123,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/ru.js
145,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/ru.js
202,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/ru.js
73,complex conditional,long if,7,3,../input_projects/js_projects/moment/locale/mk.js
39,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/mk.js
44,complex conditional,long switch,6,3,../input_projects/js_projects/moment/locale/tlh.js
87,complex conditional,long switch,8,3,../input_projects/js_projects/moment/locale/gom-deva.js
43,complex conditional,long if,4,3,../input_projects/js_projects/moment/locale/zh-mo.js
53,complex conditional,long if,6,3,../input_projects/js_projects/moment/locale/zh-mo.js
77,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/zh-mo.js
128,complex conditional,long switch,5,3,../input_projects/js_projects/moment/locale/ja.js
89,complex conditional,long if,5,3,../input_projects/js_projects/moment/locale/he.js
38,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/bg.js
78,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/zh-hk.js
83,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/sr-cyrl.js
61,complex conditional,long switch,8,3,../input_projects/js_projects/moment/locale/fr-ch.js
73,complex conditional,long switch,7,3,../input_projects/js_projects/moment/locale/me.js
95,complex conditional,long switch,6,3,../input_projects/js_projects/moment/locale/ug-cn.js
51,complex conditional,long if,7,3,../input_projects/js_projects/moment/locale/lb.js
104,complex conditional,long if,7,3,../input_projects/js_projects/moment/locale/ta.js
