Line,Smell,Cause,Number of Conditions,Threshold,File
186,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/test/bin/windows-shims.js
233,complex conditional,long switch,4,3,../input_projects/js_projects/node_cli/test/bin/windows-shims.js
413,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
684,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
455,complex conditional,long switch,4,3,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
60,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/test/lib/commands/shrinkwrap.js
18,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/test/lib/commands/sbom.js
270,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/test/fixtures/mock-npm.js
68,complex conditional,long if,12,3,../input_projects/js_projects/node_cli/bin/npx-cli.js
73,complex conditional,long switch,6,3,../input_projects/js_projects/node_cli/bin/npx-cli.js
263,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/mock-registry/lib/index.js
20,complex conditional,long switch,10,3,../input_projects/js_projects/node_cli/docs/lib/transform-html.js
45,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/docs/lib/index.js
51,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/libnpmdiff/lib/format-diff.js
46,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/config/lib/parse-field.js
47,complex conditional,long switch,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/parse-field.js
344,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
396,complex conditional,long if,9,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
468,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
522,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
546,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
575,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
698,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
819,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/config/lib/index.js
7,complex conditional,long if,6,3,../input_projects/js_projects/node_cli/workspaces/config/lib/umask.js
1865,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/definitions/definitions.js
102,complex conditional,long if,5,3,../input_projects/js_projects/node_cli/workspaces/config/lib/definitions/definition.js
181,complex conditional,long switch,9,3,../input_projects/js_projects/node_cli/workspaces/config/lib/definitions/definition.js
76,complex conditional,long if,4,3,../input_projects/js_projects/node_cli/workspaces/config/lib/set-envs.js
