Line,Smell,Threshold,File
152,long message chain,4,../input_projects/js_projects/node_cli/test/bin/windows-shims.js
37,long message chain,4,../input_projects/js_projects/node_cli/test/lib/utils/reify-finish.js
33,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/run-script.js
112,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/audit.js
189,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/audit.js
484,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/publish.js
513,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/publish.js
597,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/publish.js
139,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/unpublish.js
249,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/unpublish.js
321,long message chain,4,../input_projects/js_projects/node_cli/test/lib/commands/unpublish.js
20,long message chain,4,../input_projects/js_projects/node_cli/test/fixtures/clean-snapshot.js
36,long message chain,4,../input_projects/js_projects/node_cli/test/fixtures/clean-snapshot.js
136,long message chain,4,../input_projects/js_projects/node_cli/test/fixtures/sandbox.js
231,long message chain,4,../input_projects/js_projects/node_cli/mock-registry/lib/index.js
245,long message chain,4,../input_projects/js_projects/node_cli/mock-registry/lib/index.js
7,long message chain,4,../input_projects/js_projects/node_cli/docs/lib/transform-html.js
2282,long message chain,4,../input_projects/js_projects/node_cli/workspaces/config/lib/definitions/definitions.js
237,long message chain,4,../input_projects/js_projects/node_cli/workspaces/config/lib/definitions/definition.js
43,long message chain,4,../input_projects/js_projects/node_cli/workspaces/libnpmorg/lib/index.js
532,long message chain,4,../input_projects/js_projects/node_cli/workspaces/libnpmpublish/test/publish.js
8,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/printable.js
170,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/isolated-mode.js
2070,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
2560,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
2575,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/node.js
230,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/load-virtual.js
277,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
647,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
648,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
663,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
664,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
735,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2717,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2718,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2719,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2984,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2985,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2992,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
2993,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3000,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3001,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3008,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3009,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3010,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3021,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
3022,long message chain,4,../input_projects/js_projects/node_cli/workspaces/arborist/test/arborist/build-ideal-tree.js
