Line,Smell,Number of Lines,Threshold,File
84,long method,195,100,../input_projects/js_projects/node_cli/test/bin/windows-shims.js
25,long method,304,100,../input_projects/js_projects/node_cli/test/lib/npm.js
21,long method,137,100,../input_projects/js_projects/node_cli/test/lib/utils/queryable.js
195,long method,240,100,../input_projects/js_projects/node_cli/test/lib/utils/queryable.js
437,long method,428,100,../input_projects/js_projects/node_cli/test/lib/utils/queryable.js
104,long method,116,100,../input_projects/js_projects/node_cli/test/lib/utils/update-notifier.js
8,long method,243,100,../input_projects/js_projects/node_cli/test/lib/utils/explain-dep.js
172,long method,103,100,../input_projects/js_projects/node_cli/test/lib/utils/reify-output.js
252,long method,231,100,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
485,long method,441,100,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
928,long method,139,100,../input_projects/js_projects/node_cli/test/lib/commands/profile.js
469,long method,144,100,../input_projects/js_projects/node_cli/test/lib/commands/owner.js
131,long method,1606,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
1537,long method,135,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
1739,long method,846,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
2675,long method,1747,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
3445,long method,150,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
3597,long method,144,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
3743,long method,106,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
4472,long method,855,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
4475,long method,851,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
5116,long method,119,100,../input_projects/js_projects/node_cli/test/lib/commands/ls.js
256,long method,129,100,../input_projects/js_projects/node_cli/test/lib/commands/access.js
517,long method,398,100,../input_projects/js_projects/node_cli/test/lib/commands/run-script.js
37,long method,152,100,../input_projects/js_projects/node_cli/test/lib/commands/completion.js
87,long method,299,100,../input_projects/js_projects/node_cli/test/lib/commands/version.js
110,long method,275,100,../input_projects/js_projects/node_cli/test/lib/commands/version.js
250,long method,1911,100,../input_projects/js_projects/node_cli/test/lib/commands/audit.js
1011,long method,106,100,../input_projects/js_projects/node_cli/test/lib/commands/audit.js
2040,long method,120,100,../input_projects/js_projects/node_cli/test/lib/commands/audit.js
259,long method,173,100,../input_projects/js_projects/node_cli/test/lib/commands/init.js
262,long method,144,100,../input_projects/js_projects/node_cli/test/lib/commands/outdated.js
4,long method,293,100,../input_projects/js_projects/node_cli/test/lib/commands/install.js
434,long method,177,100,../input_projects/js_projects/node_cli/test/lib/commands/publish.js
48,long method,113,100,../input_projects/js_projects/node_cli/test/lib/commands/explain.js
163,long method,114,100,../input_projects/js_projects/node_cli/test/lib/commands/explain.js
548,long method,118,100,../input_projects/js_projects/node_cli/test/lib/commands/doctor.js
471,long method,147,100,../input_projects/js_projects/node_cli/test/lib/commands/unpublish.js
13,long method,252,100,../input_projects/js_projects/node_cli/test/lib/commands/view.js
488,long method,102,100,../input_projects/js_projects/node_cli/test/lib/commands/view.js
87,long method,416,100,../input_projects/js_projects/node_cli/test/lib/commands/sbom.js
392,long method,110,100,../input_projects/js_projects/node_cli/test/lib/commands/sbom.js
166,long method,315,100,../input_projects/js_projects/node_cli/test/lib/commands/diff.js
568,long method,121,100,../input_projects/js_projects/node_cli/test/lib/commands/diff.js
691,long method,131,100,../input_projects/js_projects/node_cli/test/lib/commands/diff.js
10,long method,119,100,../input_projects/js_projects/node_cli/test/fixtures/mock-logs.js
125,long method,190,100,../input_projects/js_projects/node_cli/test/fixtures/mock-npm.js
31,long method,104,100,../input_projects/js_projects/node_cli/docs/lib/build.js
5,long method,402,100,../input_projects/js_projects/node_cli/smoke-tests/test/index.js
