Line,Smell,Cause,Number of Conditions,Threshold,File
454,complex conditional,long if,9,3,../input_projects/js_projects/riot/riot+compiler.js
722,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
1499,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
1736,complex conditional,long if,5,3,../input_projects/js_projects/riot/riot+compiler.js
1783,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
2153,complex conditional,long if,9,3,../input_projects/js_projects/riot/riot+compiler.js
2286,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
2366,complex conditional,long if,9,3,../input_projects/js_projects/riot/riot+compiler.js
2768,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
2859,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
2934,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
3131,complex conditional,long if,5,3,../input_projects/js_projects/riot/riot+compiler.js
3639,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
3671,complex conditional,long if,11,3,../input_projects/js_projects/riot/riot+compiler.js
3893,complex conditional,long if,9,3,../input_projects/js_projects/riot/riot+compiler.js
3953,complex conditional,long if,8,3,../input_projects/js_projects/riot/riot+compiler.js
3996,complex conditional,long if,13,3,../input_projects/js_projects/riot/riot+compiler.js
4474,complex conditional,long if,6,3,../input_projects/js_projects/riot/riot+compiler.js
4494,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
4701,complex conditional,long if,5,3,../input_projects/js_projects/riot/riot+compiler.js
4805,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
4905,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
4988,complex conditional,long if,6,3,../input_projects/js_projects/riot/riot+compiler.js
7685,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
7696,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
7712,complex conditional,long if,10,3,../input_projects/js_projects/riot/riot+compiler.js
7796,complex conditional,long if,4,3,../input_projects/js_projects/riot/riot+compiler.js
7847,complex conditional,long if,8,3,../input_projects/js_projects/riot/riot+compiler.js
