Line,Smell,Threshold,File
118,long message chain,4,../input_projects/js_projects/riot/test/specs/lifecycle-events.spec.js
5308,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5329,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5353,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5367,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5379,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5395,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5402,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5438,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5449,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5458,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5465,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5472,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5479,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5485,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5505,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5595,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5606,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5617,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5623,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5629,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5635,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5643,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5678,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5701,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5707,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5747,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
5755,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6172,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6190,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6210,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6220,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6412,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6419,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6429,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6445,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6452,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6485,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6507,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6523,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6532,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6543,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6558,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6567,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6608,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6723,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6817,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6874,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6898,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6911,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6953,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
6982,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7099,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7161,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7185,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7196,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7219,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7230,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7263,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7271,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7278,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7307,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7313,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7331,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7339,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7349,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7361,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7387,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
7394,long message chain,4,../input_projects/js_projects/riot/riot+compiler.js
