Line,Smell,Number of Lines,Threshold,File
18,long method,192,100,../input_projects/js_projects/riot/test/specs/state-and-props.spec.js
16,long method,174,100,../input_projects/js_projects/riot/test/specs/slots.spec.js
21,long method,285,100,../input_projects/js_projects/riot/test/specs/lifecycle-events.spec.js
8,long method,127,100,../input_projects/js_projects/riot/test/specs/compiler.spec.js
16,long method,303,100,../input_projects/js_projects/riot/test/specs/components-registration.spec.js
2588,long method,795,100,../input_projects/js_projects/riot/riot+compiler.js
2824,long method,553,100,../input_projects/js_projects/riot/riot+compiler.js
3395,long method,338,100,../input_projects/js_projects/riot/riot+compiler.js
3405,long method,322,100,../input_projects/js_projects/riot/riot+compiler.js
3741,long method,358,100,../input_projects/js_projects/riot/riot+compiler.js
3750,long method,343,100,../input_projects/js_projects/riot/riot+compiler.js
4105,long method,410,100,../input_projects/js_projects/riot/riot+compiler.js
4115,long method,394,100,../input_projects/js_projects/riot/riot+compiler.js
4521,long method,348,100,../input_projects/js_projects/riot/riot+compiler.js
4531,long method,332,100,../input_projects/js_projects/riot/riot+compiler.js
4877,long method,161,100,../input_projects/js_projects/riot/riot+compiler.js
4885,long method,147,100,../input_projects/js_projects/riot/riot+compiler.js
5266,long method,285,100,../input_projects/js_projects/riot/riot+compiler.js
5275,long method,270,100,../input_projects/js_projects/riot/riot+compiler.js
5557,long method,242,100,../input_projects/js_projects/riot/riot+compiler.js
5566,long method,227,100,../input_projects/js_projects/riot/riot+compiler.js
6138,long method,114,100,../input_projects/js_projects/riot/riot+compiler.js
6314,long method,366,100,../input_projects/js_projects/riot/riot+compiler.js
6324,long method,350,100,../input_projects/js_projects/riot/riot+compiler.js
6753,long method,245,100,../input_projects/js_projects/riot/riot+compiler.js
6762,long method,230,100,../input_projects/js_projects/riot/riot+compiler.js
7043,long method,373,100,../input_projects/js_projects/riot/riot+compiler.js
7053,long method,357,100,../input_projects/js_projects/riot/riot+compiler.js
7984,long method,200,100,../input_projects/js_projects/riot/riot+compiler.js
8188,long method,657,100,../input_projects/js_projects/riot/riot+compiler.js
8851,long method,315,100,../input_projects/js_projects/riot/riot+compiler.js
9170,long method,253,100,../input_projects/js_projects/riot/riot+compiler.js
9431,long method,536,100,../input_projects/js_projects/riot/riot+compiler.js
9973,long method,387,100,../input_projects/js_projects/riot/riot+compiler.js
10364,long method,2387,100,../input_projects/js_projects/riot/riot+compiler.js
10517,long method,1789,100,../input_projects/js_projects/riot/riot+compiler.js
16396,long method,5993,100,../input_projects/js_projects/riot/riot+compiler.js
26687,long method,115,100,../input_projects/js_projects/riot/riot+compiler.js
25054,long method,115,100,../input_projects/js_projects/riot/riot+compiler.js
6,long method,27223,100,../input_projects/js_projects/riot/riot+compiler.js
2591,long method,790,100,../input_projects/js_projects/riot/riot+compiler.js
2946,long method,228,100,../input_projects/js_projects/riot/riot+compiler.js
2998,long method,114,100,../input_projects/js_projects/riot/riot+compiler.js
3398,long method,333,100,../input_projects/js_projects/riot/riot+compiler.js
3744,long method,353,100,../input_projects/js_projects/riot/riot+compiler.js
4108,long method,405,100,../input_projects/js_projects/riot/riot+compiler.js
4230,long method,130,100,../input_projects/js_projects/riot/riot+compiler.js
4524,long method,343,100,../input_projects/js_projects/riot/riot+compiler.js
4880,long method,156,100,../input_projects/js_projects/riot/riot+compiler.js
5269,long method,280,100,../input_projects/js_projects/riot/riot+compiler.js
5560,long method,237,100,../input_projects/js_projects/riot/riot+compiler.js
6141,long method,109,100,../input_projects/js_projects/riot/riot+compiler.js
6317,long method,361,100,../input_projects/js_projects/riot/riot+compiler.js
6756,long method,240,100,../input_projects/js_projects/riot/riot+compiler.js
7046,long method,368,100,../input_projects/js_projects/riot/riot+compiler.js
7991,long method,121,100,../input_projects/js_projects/riot/riot+compiler.js
8199,long method,518,100,../input_projects/js_projects/riot/riot+compiler.js
9687,long method,181,100,../input_projects/js_projects/riot/riot+compiler.js
16399,long method,5988,100,../input_projects/js_projects/riot/riot+compiler.js
16402,long method,5984,100,../input_projects/js_projects/riot/riot+compiler.js
19213,long method,109,100,../input_projects/js_projects/riot/riot+compiler.js
2070,long method,115,100,../input_projects/js_projects/riot/riot.js
437,long method,115,100,../input_projects/js_projects/riot/riot.js
6,long method,2504,100,../input_projects/js_projects/riot/riot.js
41,long method,115,100,../input_projects/js_projects/riot/src/core/manage-component-lifecycle.js
