Line,Smell,Cause,Number of Conditions,Threshold,File
63,complex conditional,long if,8,3,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestEnviron.java
580,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
720,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
948,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
971,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
1002,complex conditional,long if,6,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
302,complex conditional,long if,7,3,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
347,complex conditional,long if,5,3,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
172,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
1124,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
368,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PySystemState_registry_Test.java
96,complex conditional,long if,6,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTestSupport.java
415,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTestSupport.java
138,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/org/python/expose/generate/SimpleExposed.java
355,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/javatests/Issue1972.java
772,complex conditional,long if,4,3,../input_projects/multi_projects/jython/tests/java/javatests/Issue1972.java
79,complex conditional,long if,13,3,../input_projects/multi_projects/jython/tests/java/com/ziclix/python/sql/DataHandlerTest.java
28,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/test/java/org/python/util/install/driver/DrivableConsole.java
69,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/test/java/org/apache/commons/cli/HelpFormatterTest.java
152,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/StandalonePackager.java
116,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/DirectorySelectionPage.java
27,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/FileHelper.java
108,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/driver/Autotest.java
254,complex conditional,long if,6,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/driver/Autotest.java
16,complex conditional,long if,6,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/DirectorySelectionPageValidator.java
112,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
138,complex conditional,long if,6,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
228,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
237,complex conditional,long if,18,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
365,complex conditional,long if,8,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
411,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/ConsoleInstaller.java
19,complex conditional,long if,4,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/JavaVersionTester.java
150,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/TypePage.java
171,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/TypePage.java
213,complex conditional,long if,16,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/TypePage.java
162,complex conditional,long if,13,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/OverviewPage.java
142,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/JavaHomeHandler.java
154,complex conditional,long if,5,3,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/JavaHomeHandler.java
