Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
28,long class,265,200,25,20,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestEnviron.java
23,long class,117,200,21,20,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestReturnIterable.java
23,long class,240,200,14,20,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestAppInvocation.java
38,long class,220,200,30,20,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestBase.java
16,long class,289,200,21,20,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferNIOTest.java
56,long class,1490,200,71,20,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
18,long class,330,200,17,20,../input_projects/multi_projects/jython/tests/java/org/python/core/StringFormatTest.java
44,long class,443,200,21,20,../input_projects/multi_projects/jython/tests/java/org/python/core/ConcurrentTypeTest.java
32,long class,883,200,59,20,../input_projects/multi_projects/jython/tests/java/org/python/core/BaseBytesTest.java
545,long class,207,200,16,20,../input_projects/multi_projects/jython/tests/java/org/python/core/BaseBytesTest.java
16,long class,569,200,26,20,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
13,long class,1611,200,38,20,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
17,long class,397,200,25,20,../input_projects/multi_projects/jython/tests/java/org/python/core/PySystemState_registry_Test.java
15,long class,529,200,29,20,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTestSupport.java
11,long class,96,200,21,20,../input_projects/multi_projects/jython/tests/java/org/python/tests/Coercions.java
18,long class,163,200,26,20,../input_projects/multi_projects/jython/tests/java/org/python/expose/generate/SimpleExposed.java
13,long class,273,200,25,20,../input_projects/multi_projects/jython/tests/java/org/python/expose/generate/MethodExposerTest.java
14,long class,226,200,33,20,../input_projects/multi_projects/jython/tests/java/org/python/expose/generate/DescriptorExposerTest.java
10,long class,166,200,22,20,../input_projects/multi_projects/jython/tests/java/org/python/expose/generate/ExposeMethodFinderTest.java
25,long class,369,200,27,20,../input_projects/multi_projects/jython/tests/java/org/python/jsr223/ScriptEngineTest.java
30,long class,294,200,14,20,../input_projects/multi_projects/jython/tests/java/org/python/modules/_io/_ioTest.java
34,long class,592,200,44,20,../input_projects/multi_projects/jython/tests/java/org/python/modules/_locale/_localeTest.java
80,long class,1112,200,71,20,../input_projects/multi_projects/jython/tests/java/org/python/indexer/IndexerTest.java
25,long class,421,200,57,20,../input_projects/multi_projects/jython/tests/java/org/python/indexer/TestBase.java
17,long class,527,200,32,20,../input_projects/multi_projects/jython/tests/java/javatests/ListTest.java
3,long class,129,200,108,20,../input_projects/multi_projects/jython/tests/java/javatests/JOverload.java
42,long class,860,200,38,20,../input_projects/multi_projects/jython/tests/java/javatests/Issue1972.java
16,long class,255,200,15,20,../input_projects/multi_projects/jython/installer/test/java/org/python/util/install/FileHelperTest.java
7,long class,630,200,18,20,../input_projects/multi_projects/jython/installer/test/java/org/python/util/install/InstallerCommandLineTest.java
11,long class,266,200,9,20,../input_projects/multi_projects/jython/installer/test/java/org/python/util/install/StartScriptGeneratorTest.java
17,long class,254,200,16,20,../input_projects/multi_projects/jython/installer/test/java/org/apache/commons/cli/ValueTest.java
17,long class,268,200,14,20,../input_projects/multi_projects/jython/installer/test/java/org/apache/commons/cli/ParseTest.java
21,long class,225,200,13,20,../input_projects/multi_projects/jython/installer/test/java/org/apache/commons/cli/OptionGroupTest.java
