Line,Smell,Number of Lines,Threshold,File
127,long method,105,100,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
395,long method,116,100,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
56,long method,123,100,../input_projects/multi_projects/jython/installer/src/java/org/python/util/install/JarInstaller.java
83,long method,111,100,../input_projects/multi_projects/jython/src/org/python/core/PyReflectedConstructor.java
289,long method,139,100,../input_projects/multi_projects/jython/src/org/python/core/packagecache/CachedJarsPackageManager.java
387,long method,121,100,../input_projects/multi_projects/jython/src/org/python/core/PyUnicode.java
438,long method,148,100,../input_projects/multi_projects/jython/src/org/python/core/PyString.java
4627,long method,292,100,../input_projects/multi_projects/jython/src/org/python/core/PyString.java
275,long method,1103,100,../input_projects/multi_projects/jython/src/org/python/core/PyBytecode.java
52,long method,106,100,../input_projects/multi_projects/jython/src/org/python/core/ReflectedArgs.java
25,long method,155,100,../input_projects/multi_projects/jython/src/org/python/core/exceptions.java
844,long method,118,100,../input_projects/multi_projects/jython/src/org/python/core/imp.java
369,long method,122,100,../input_projects/multi_projects/jython/src/org/python/core/PyFrame.java
813,long method,140,100,../input_projects/multi_projects/jython/src/org/python/core/PyType.java
505,long method,131,100,../input_projects/multi_projects/jython/src/org/python/core/codecs.java
1024,long method,112,100,../input_projects/multi_projects/jython/src/org/python/core/codecs.java
1804,long method,148,100,../input_projects/multi_projects/jython/src/org/python/core/PySystemState.java
235,long method,120,100,../input_projects/multi_projects/jython/src/org/python/core/PyJavaType.java
371,long method,214,100,../input_projects/multi_projects/jython/src/org/python/core/PyJavaType.java
200,long method,107,100,../input_projects/multi_projects/jython/src/org/python/core/PyBaseCode.java
529,long method,219,100,../input_projects/multi_projects/jython/src/org/python/util/jython.java
955,long method,184,100,../input_projects/multi_projects/jython/src/org/python/util/jython.java
406,long method,117,100,../input_projects/multi_projects/jython/src/org/python/util/JythoncAntTask.java
18,long method,121,100,../input_projects/multi_projects/jython/src/org/python/antlr/ast/AstModule.java
146,long method,114,100,../input_projects/multi_projects/jython/src/org/python/modules/operator.java
278,long method,173,100,../input_projects/multi_projects/jython/src/org/python/modules/ucnhash.java
103,long method,135,100,../input_projects/multi_projects/jython/src/org/python/modules/_csv/PyReader.java
493,long method,208,100,../input_projects/multi_projects/jython/src/org/python/modules/time/Time.java
132,long method,176,100,../input_projects/multi_projects/jython/src/org/python/modules/_json/_json.java
142,long method,119,100,../input_projects/multi_projects/jython/src/org/python/modules/_marshal.java
395,long method,159,100,../input_projects/multi_projects/jython/src/org/python/modules/_marshal.java
502,long method,124,100,../input_projects/multi_projects/jython/src/org/python/modules/_io/PyIOBase.java
96,long method,111,100,../input_projects/multi_projects/jython/src/org/python/modules/_io/_jyio.java
920,long method,140,100,../input_projects/multi_projects/jython/src/org/python/modules/gc.java
1781,long method,113,100,../input_projects/multi_projects/jython/src/org/python/modules/gc.java
1896,long method,241,100,../input_projects/multi_projects/jython/src/org/python/modules/gc.java
542,long method,541,100,../input_projects/multi_projects/jython/src/org/python/modules/sre/SRE_STATE.java
1093,long method,126,100,../input_projects/multi_projects/jython/src/org/python/modules/sre/SRE_STATE.java
28,long method,162,100,../input_projects/multi_projects/jython/src/org/python/modules/jffi/AbstractNumericMethodGenerator.java
187,long method,101,100,../input_projects/multi_projects/jython/src/org/python/compiler/ProxyMaker.java
738,long method,102,100,../input_projects/multi_projects/jython/src/org/python/compiler/Module.java
991,long method,101,100,../input_projects/multi_projects/jython/src/org/python/compiler/Module.java
1803,long method,124,100,../input_projects/multi_projects/jython/src/org/python/compiler/CodeCompiler.java
2444,long method,110,100,../input_projects/multi_projects/jython/src/org/python/compiler/CodeCompiler.java
2713,long method,120,100,../input_projects/multi_projects/jython/src/org/python/compiler/CodeCompiler.java
216,long method,104,100,../input_projects/multi_projects/jython/src/com/ziclix/python/sql/Jython22DataHandler.java
229,long method,109,100,../input_projects/multi_projects/jython/src/com/ziclix/python/sql/DataHandler.java
