Line,Smell,Number of Parameters,Threshold,File
90,long parameters,7,5,../input_projects/multi_projects/jython/tests/modjy/java/com/xhaus/modjy/ModjyTestEnviron.java
249,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferNIOTest.java
529,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
1490,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTest.java
231,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
281,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
299,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
419,long parameters,8,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
460,long parameters,8,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
488,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
524,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
578,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/ByteBufferTestSupport.java
143,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
168,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
524,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
760,long parameters,9,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
1089,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
1285,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
1523,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyByteArrayTest.java
302,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTestSupport.java
320,long parameters,7,5,../input_projects/multi_projects/jython/tests/java/org/python/core/PyBufferTestSupport.java
50,long parameters,6,5,../input_projects/multi_projects/jython/tests/java/org/python/compiler/custom_proxymaker/MiniClampMaker.java
157,long parameters,6,5,../input_projects/multi_projects/jython/installer/src/java/org/apache/commons/cli/HelpFormatter.java
169,long parameters,8,5,../input_projects/multi_projects/jython/installer/src/java/org/apache/commons/cli/HelpFormatter.java
182,long parameters,9,5,../input_projects/multi_projects/jython/installer/src/java/org/apache/commons/cli/HelpFormatter.java
93,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/ArgParser.java
127,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/ArgParser.java
10,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyBuiltinMethodSet.java
732,long parameters,8,5,../input_projects/multi_projects/jython/src/org/python/core/stringlib/InternalFormat.java
28,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/CompilerFacade.java
186,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/packagecache/PackageManager.java
21,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyCode.java
26,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/PyCode.java
40,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyCode.java
45,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/PyCode.java
50,long parameters,8,5,../input_projects/multi_projects/jython/src/org/python/core/PyCode.java
7,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PythonCompiler.java
1978,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyObject.java
588,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/PyString.java
2352,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyArray.java
241,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/PyBytecode.java
53,long parameters,12,5,../input_projects/multi_projects/jython/src/org/python/core/PyBytecode.java
62,long parameters,14,5,../input_projects/multi_projects/jython/src/org/python/core/PyBytecode.java
255,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/imp.java
280,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/imp.java
1529,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/codecs.java
1556,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/codecs.java
1595,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/codecs.java
1151,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PySystemState.java
509,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
946,long parameters,12,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
958,long parameters,13,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
972,long parameters,8,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
981,long parameters,9,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2232,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2836,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2843,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2862,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2868,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
2875,long parameters,8,5,../input_projects/multi_projects/jython/src/org/python/core/Py.java
137,long parameters,6,5,../input_projects/multi_projects/jython/src/org/python/core/PyBaseCode.java
153,long parameters,7,5,../input_projects/multi_projects/jython/src/org/python/core/PyBaseCode.java
