Line,Smell,Cause,Number of Conditions,Threshold,File
27,complex conditional,long if,5,3,../input_projects/multi_projects/jython/Demo/swing/JythonConsole/Keymap.py
61,complex conditional,long if,5,3,../input_projects/multi_projects/jython/Misc/genpatches.py
54,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_checker.py
109,complex conditional,long if,11,3,../input_projects/multi_projects/jython/Misc/make_checker.py
161,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_checker.py
268,complex conditional,long if,5,3,../input_projects/multi_projects/jython/Misc/Release.py
387,complex conditional,long if,8,3,../input_projects/multi_projects/jython/Misc/Release.py
15,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_visitor.py
36,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_ucnhashdat.py
366,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_ucnhashdat.py
146,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_binops.py
116,complex conditional,long if,4,3,../input_projects/multi_projects/jython/Misc/make_cmath_testcases.py
389,complex conditional,long if,9,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
525,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
588,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
656,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
727,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
765,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
981,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
1179,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
1251,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
1366,complex conditional,long if,15,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
1428,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
1465,complex conditional,long if,14,3,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
282,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
364,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
441,complex conditional,long if,6,3,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
523,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
431,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/bundlebuilder.py
440,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/bundlebuilder.py
465,complex conditional,long if,4,3,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/bundlebuilder.py
