Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
501,long class,201,200,8,20,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
705,long class,642,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
354,long class,370,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/bundlebuilder.py
105,long class,341,200,38,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/FrameWork.py
525,long class,264,200,23,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
553,long class,264,200,7,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
890,long class,251,200,14,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
13,long class,317,200,13,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/SystemEvents/Standard_Suite.py
13,long class,317,200,13,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/Terminal/Standard_Suite.py
13,long class,211,200,10,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/Netscape/Mozilla_suite.py
13,long class,397,200,16,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/Netscape/WorldWideWeb_suite.py
14,long class,303,200,12,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/Finder/Standard_Suite.py
14,long class,455,200,19,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/StdSuites/Standard_Suite.py
13,long class,727,200,32,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/StdSuites/AppleScript_Suite.py
13,long class,231,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/CodeWarrior/CodeWarrior_suite.py
13,long class,777,200,34,20,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/lib-scriptpackages/CodeWarrior/Metrowerks_Shell_Suite.py
497,long class,121,200,24,20,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
