Line,Smell,Number of Lines,Threshold,File
239,long method,124,100,../input_projects/multi_projects/jython/Misc/make_ucnhashdat.py
1244,long method,103,100,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
131,long method,122,100,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/aepack.py
430,long method,143,100,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
147,long method,133,100,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/buildtools.py
433,long method,118,100,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
43,long method,183,100,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
328,long method,139,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
186,long method,106,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/tests/test_filelist.py
60,long method,108,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/core.py
139,long method,114,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/extension.py
161,long method,121,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/text_file.py
131,long method,142,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/build_ext.py
62,long method,132,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/upload.py
100,long method,121,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/register.py
270,long method,134,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_rpm.py
410,long method,151,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_rpm.py
240,long method,137,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/install.py
417,long method,315,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/command/bdist_msi.py
128,long method,159,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/dist.py
171,long method,130,100,../input_projects/multi_projects/jython/lib-python/2.7/distutils/bcppcompiler.py
2250,long method,113,100,../input_projects/multi_projects/jython/lib-python/2.7/lib-tk/turtle.py
659,long method,157,100,../input_projects/multi_projects/jython/lib-python/2.7/trace.py
626,long method,101,100,../input_projects/multi_projects/jython/lib-python/2.7/unittest/case.py
97,long method,180,100,../input_projects/multi_projects/jython/lib-python/2.7/pyclbr.py
467,long method,176,100,../input_projects/multi_projects/jython/lib-python/2.7/test/test_descr.py
