Line,Smell,Number of Parameters,Threshold,File
6,long parameters,6,5,../input_projects/multi_projects/jython/Demo/swing/JythonConsole/Action.py
515,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/zipfile.py
337,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
504,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/shutil.py
36,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/videoreader.py
647,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/FrameWork.py
665,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/FrameWork.py
895,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/FrameWork.py
966,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/FrameWork.py
183,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
430,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
624,long parameters,18,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
676,long parameters,18,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
736,long parameters,16,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/EasyDialogs.py
69,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/buildtools.py
147,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/buildtools.py
282,long parameters,10,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/buildtools.py
276,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
1011,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/pimp.py
147,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
186,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
259,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
433,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
554,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
627,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
891,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/gensuitemodule.py
149,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/plat-mac/PixMapWrapper.py
430,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
504,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/tempfile.py
43,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1473,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
1684,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/_pyio.py
86,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
113,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
124,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
150,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/unixccompiler.py
323,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
497,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
510,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
579,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
586,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
617,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
669,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
682,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
693,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
726,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
842,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/ccompiler.py
468,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
553,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
578,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvc9compiler.py
51,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/archive_util.py
193,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/archive_util.py
253,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
354,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
367,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
388,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
394,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cmd.py
328,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/util.py
252,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/tests/setuptools_build_ext.py
266,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/tests/setuptools_build_ext.py
71,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/file_util.py
154,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cygwinccompiler.py
168,long parameters,14,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/cygwinccompiler.py
90,long parameters,18,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/extension.py
349,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvccompiler.py
438,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/distutils/msvccompiler.py
