Line,Smell,Cause,Number of Conditions,Threshold,File
26,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/async_hooks/gc-tracking.js
11,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/async_hooks/http-server.js
36,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/misc/arguments.js
66,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/misc/punycode.js
14,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/misc/structured-clone.js
66,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/misc/object-property-bench.js
36,complex conditional,long if,9,3,../input_projects/multi_projects/node/benchmark/_cli.js
41,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/cipher-stream.js
47,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/crypto/create-keyobject.js
101,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/oneshot-verify.js
112,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/crypto/oneshot-verify.js
138,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/oneshot-verify.js
87,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/oneshot-sign.js
98,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/crypto/oneshot-sign.js
24,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/hash-stream-throughput.js
14,complex conditional,long if,5,3,../input_projects/multi_projects/node/benchmark/crypto/randomInt.js
25,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/crypto/hash-stream-creation.js
4,complex conditional,long if,8,3,../input_projects/multi_projects/node/benchmark/cluster/echo.js
34,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/webstreams/creation.js
17,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/webstreams/js_transfer.js
18,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-write-string.js
25,complex conditional,long switch,11,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-from.js
18,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-compare-instance-method.js
79,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-write.js
23,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-tostring.js
18,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/buffers/buffer-creation.js
18,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/net-c2s-cork.js
74,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/tcp-raw-c2s.js
43,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/tcp-raw-s2c.js
20,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/net-c2s.js
26,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/net-s2c.js
71,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/tcp-raw-pipe.js
23,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/net-wrap-js-stream-passthrough.js
20,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/net/net-pipe.js
30,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/util/normalize-encoding.js
42,complex conditional,long switch,15,3,../input_projects/multi_projects/node/benchmark/util/inspect.js
21,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/util/inspect-array.js
10,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/timers/immediate.js
36,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/timers/timers-breadth-args.js
15,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/timers/set-immediate-depth-args.js
23,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/string_decoder/string-decoder.js
61,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/string_decoder/string-decoder.js
16,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/streams/creation.js
16,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/streams/destroy.js
14,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/streams/readable-from.js
18,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/perf_hooks/bench-eventlooputil.js
39,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/assert/deepequal-simple-array-and-set.js
36,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/assert/deepequal-map.js
36,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/assert/deepequal-set.js
17,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/zlib/inflate.js
16,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/zlib/deflate.js
34,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/url/url-searchparams-creation.js
34,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/url/url-searchparams-toString.js
39,complex conditional,long switch,13,3,../input_projects/multi_projects/node/benchmark/url/whatwg-url-properties.js
70,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/tls/secure-pair.js
16,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/tls/throughput-c2s.js
23,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/tls/throughput-s2c.js
26,complex conditional,long switch,21,3,../input_projects/multi_projects/node/benchmark/child_process/child-process-params.js
61,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/child_process/child-process-params.js
25,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/http/create-clientrequest.js
19,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/dgram/bind-params.js
78,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/compare.js
42,complex conditional,long if,16,3,../input_projects/multi_projects/node/benchmark/fixtures/simple-http-server.js
101,complex conditional,long switch,6,3,../input_projects/multi_projects/node/benchmark/fixtures/simple-http-server.js
78,complex conditional,long switch,11,3,../input_projects/multi_projects/node/benchmark/fixtures/coverage-many-branches.js
25,complex conditional,long if,7,3,../input_projects/multi_projects/node/benchmark/fixtures/simple-https-server.js
68,complex conditional,long if,7,3,../input_projects/multi_projects/node/benchmark/common.js
144,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/common.js
19,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/validators/validate-object.js
40,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/validators/validate-object.js
56,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/es/foreach-bench.js
33,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/es/spread-bench.js
25,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/es/string-concatenations.js
106,complex conditional,long switch,7,3,../input_projects/multi_projects/node/benchmark/es/map-bench.js
53,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/es/restparams-bench.js
20,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/es/spread-assign.js
15,complex conditional,long switch,5,3,../input_projects/multi_projects/node/benchmark/events/ee-once.js
18,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/events/ee-emit.js
15,complex conditional,long if,4,3,../input_projects/multi_projects/node/benchmark/dns/lookup.js
19,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/bench-mkdtempSync.js
18,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/bench-timesSync.js
23,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/writefile-promises.js
19,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/bench-existsSync.js
29,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/bench-accessSync.js
21,complex conditional,long if,5,3,../input_projects/multi_projects/node/benchmark/fs/bench-opendir.js
24,complex conditional,long switch,4,3,../input_projects/multi_projects/node/benchmark/fs/read-stream-throughput.js
