Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
10,long class,276,200,13,20,../input_projects/multi_projects/node/benchmark/common.js
21,long class,205,200,20,20,../input_projects/multi_projects/node/test/async-hooks/init-hooks.js
506,long class,468,200,26,20,../input_projects/multi_projects/node/test/common/wpt.js
122,long class,206,200,30,20,../input_projects/multi_projects/node/test/common/inspector-helper.js
330,long class,166,200,33,20,../input_projects/multi_projects/node/test/common/inspector-helper.js
677,long class,609,200,51,20,../input_projects/multi_projects/node/test/fixtures/wpt/wasm/jsapi/wasm-module-builder.js
99,long class,219,200,20,20,../input_projects/multi_projects/node/lib/internal/event_target.js
551,long class,305,200,13,20,../input_projects/multi_projects/node/lib/internal/event_target.js
211,long class,638,200,31,20,../input_projects/multi_projects/node/lib/internal/test_runner/test.js
65,long class,227,200,4,20,../input_projects/multi_projects/node/lib/internal/test_runner/coverage.js
139,long class,297,200,12,20,../input_projects/multi_projects/node/lib/internal/test_runner/mock/mock.js
96,long class,672,200,47,20,../input_projects/multi_projects/node/lib/internal/test_runner/mock/mock_timers.js
106,long class,251,200,28,20,../input_projects/multi_projects/node/lib/internal/crypto/x509.js
244,long class,373,200,24,20,../input_projects/multi_projects/node/lib/internal/webstreams/readablestream.js
57,long class,211,200,20,20,../input_projects/multi_projects/node/lib/internal/histogram.js
132,long class,327,200,27,20,../input_projects/multi_projects/node/lib/internal/worker.js
343,long class,1024,200,47,20,../input_projects/multi_projects/node/lib/internal/readline/interface.js
1227,long class,406,200,31,20,../input_projects/multi_projects/node/lib/internal/http2/core.js
1976,long class,443,200,37,20,../input_projects/multi_projects/node/lib/internal/http2/core.js
2683,long class,304,200,7,20,../input_projects/multi_projects/node/lib/internal/http2/core.js
318,long class,129,200,21,20,../input_projects/multi_projects/node/lib/internal/http2/compat.js
475,long class,470,200,42,20,../input_projects/multi_projects/node/lib/internal/http2/compat.js
49,long class,226,200,22,20,../input_projects/multi_projects/node/lib/internal/js_stream_socket.js
127,long class,270,200,20,20,../input_projects/multi_projects/node/lib/internal/blob.js
108,long class,358,200,10,20,../input_projects/multi_projects/node/lib/internal/modules/esm/hooks.js
82,long class,365,200,23,20,../input_projects/multi_projects/node/lib/internal/modules/esm/loader.js
309,long class,417,200,20,20,../input_projects/multi_projects/node/lib/internal/url.js
772,long class,350,200,32,20,../input_projects/multi_projects/node/lib/internal/url.js
151,long class,271,200,35,20,../input_projects/multi_projects/node/lib/internal/fs/promises.js
47,long class,239,200,14,20,../input_projects/multi_projects/node/lib/internal/fs/dir.js
39,long class,219,200,20,20,../input_projects/multi_projects/node/lib/internal/fs/recursive_watch.js
147,long class,232,200,8,20,../input_projects/multi_projects/node/lib/internal/fs/glob.js
25,long class,140,200,22,20,../input_projects/multi_projects/node/lib/internal/perf/resource_timing.js
351,long class,287,200,7,20,../input_projects/multi_projects/node/lib/internal/policy/manifest.js
435,long class,319,200,17,20,../input_projects/multi_projects/node/deps/v8/tools/profview/profview.js
756,long class,372,200,7,20,../input_projects/multi_projects/node/deps/v8/tools/profview/profview.js
1305,long class,855,200,64,20,../input_projects/multi_projects/node/deps/v8/test/mjsunit/wasm/wasm-module-builder.js
18,long class,776,200,121,20,../input_projects/multi_projects/node/deps/v8/test/debugger/test-api.js
14,long class,329,200,13,20,../input_projects/multi_projects/node/deps/undici/src/lib/handler/RetryHandler.js
115,long class,298,200,15,20,../input_projects/multi_projects/node/deps/undici/src/lib/client.js
552,long class,477,200,15,20,../input_projects/multi_projects/node/deps/undici/src/lib/client.js
43,long class,351,200,5,20,../input_projects/multi_projects/node/deps/undici/src/lib/eventsource/eventsource-stream.js
82,long class,355,200,17,20,../input_projects/multi_projects/node/deps/undici/src/lib/eventsource/eventsource.js
15,long class,322,200,7,20,../input_projects/multi_projects/node/deps/undici/src/lib/websocket/receiver.js
27,long class,512,200,28,20,../input_projects/multi_projects/node/deps/undici/src/lib/websocket/websocket.js
31,long class,350,200,17,20,../input_projects/multi_projects/node/deps/undici/src/lib/core/request.js
29,long class,767,200,18,20,../input_projects/multi_projects/node/deps/undici/src/lib/cache/cache.js
18,long class,283,200,21,20,../input_projects/multi_projects/node/deps/undici/src/lib/fileapi/filereader.js
21,long class,164,200,25,20,../input_projects/multi_projects/node/deps/undici/src/lib/pool-base.js
32,long class,223,200,14,20,../input_projects/multi_projects/node/deps/undici/src/lib/fetch/response.js
44,long class,726,200,23,20,../input_projects/multi_projects/node/deps/undici/src/lib/fetch/request.js
259,long class,291,200,15,20,../input_projects/multi_projects/node/deps/undici/src/lib/fetch/headers.js
179,long class,806,200,32,20,../input_projects/multi_projects/node/deps/minimatch/dist/mjs/index.js
29,long class,555,200,22,20,../input_projects/multi_projects/node/deps/minimatch/dist/mjs/ast.js
191,long class,806,200,32,20,../input_projects/multi_projects/node/deps/minimatch/dist/cjs/index.js
32,long class,555,200,22,20,../input_projects/multi_projects/node/deps/minimatch/dist/cjs/ast.js
58,long class,276,200,23,20,../input_projects/multi_projects/node/deps/npm/test/fixtures/sandbox.js
20,long class,464,200,71,20,../input_projects/multi_projects/node/deps/npm/lib/npm.js
14,long class,222,200,15,20,../input_projects/multi_projects/node/deps/npm/lib/utils/log-file.js
39,long class,367,200,11,20,../input_projects/multi_projects/node/deps/npm/lib/commands/profile.js
18,long class,212,200,11,20,../input_projects/multi_projects/node/deps/npm/lib/commands/owner.js
20,long class,227,200,10,20,../input_projects/multi_projects/node/deps/npm/lib/commands/run-script.js
18,long class,206,200,17,20,../input_projects/multi_projects/node/deps/npm/lib/commands/fund.js
51,long class,325,200,17,20,../input_projects/multi_projects/node/deps/npm/lib/commands/config.js
16,long class,380,200,24,20,../input_projects/multi_projects/node/deps/npm/lib/commands/audit.js
10,long class,218,200,20,20,../input_projects/multi_projects/node/deps/npm/lib/commands/token.js
