Line,Smell,Threshold,File
150,long message chain,4,../input_projects/multi_projects/node/tools/github_reporter/index.js
2913,long message chain,4,../input_projects/multi_projects/node/tools/github_reporter/index.js
52,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-fs-append-file.js
78,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-fs-append-file.js
108,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-fs-append-file.js
171,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-fs-append-file.js
17,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-debugger-random-port.js
71,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-net-server-max-connections-close-makes-more-available.js
1023,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-runner-mocking.js
83,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-crypto-psychic-signatures.js
21,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-debugger-use-strict.js
25,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-startup-large-pages.js
31,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-tls-env-bad-extra-ca.js
48,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-zlib-from-concatenated-gzip.js
23,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-debugger-clear-breakpoints.js
178,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-zlib.js
44,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-net-connect-options-fd.js
22,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-inspector-port-zero-cluster.js
35,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-trace-atomics-wait.js
34,long message chain,4,../input_projects/multi_projects/node/test/parallel/test-vm-create-context-circular-reference.js
80,long message chain,4,../input_projects/multi_projects/node/test/node-api/test_threadsafe_function/test.js
52163,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
52164,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
72081,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
122829,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
132101,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
132954,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
132955,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
132957,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
139053,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
139054,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
156110,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
167385,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
1011,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1254,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1274,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1288,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1406,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1756,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1758,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1765,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1766,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1770,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
1771,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
2169,long message chain,4,../input_projects/multi_projects/node/test/fixtures/snapshot/marked.js
33,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/count-queuing-strategy-integration.any.js
95,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/count-queuing-strategy-integration.any.js
162,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/count-queuing-strategy-integration.any.js
410,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/tee.any.js
440,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/tee.any.js
456,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/readable-streams/general.any.js
550,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/piping/error-propagation-forward.any.js
489,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/piping/close-propagation-forward.any.js
538,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/piping/close-propagation-forward.any.js
673,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/aborting.any.js
772,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/aborting.any.js
863,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/aborting.any.js
961,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/aborting.any.js
26,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/count-queuing-strategy.any.js
74,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/writable-streams/count-queuing-strategy.any.js
59,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/streams/transform-streams/backpressure.any.js
3499,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/resources/idlharness.js
161,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/WebCryptoAPI/wrapKey_unwrapKey/wrapKey_unwrapKey.https.any.js
182,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/WebCryptoAPI/wrapKey_unwrapKey/wrapKey_unwrapKey.https.any.js
422,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/WebCryptoAPI/wrapKey_unwrapKey/wrapKey_unwrapKey.https.any.js
47,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/resource-timing/sizes-cache.any.js
11,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/dom/events/non-cancelable-when-passive/resources/touching.js
112,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/dom/events/scrolling/scroll_support.js
132,long message chain,4,../input_projects/multi_projects/node/test/fixtures/wpt/dom/events/scrolling/scroll_support.js
6,long message chain,4,../input_projects/multi_projects/node/test/fixtures/errors/async_error_eval_cjs.js
198,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/windbg.js
233,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/windbg.js
239,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/windbg.js
253,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/windbg.js
300,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/windbg.js
137,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/clusterfuzz/js_fuzzer/run.js
274,long message chain,4,../input_projects/multi_projects/node/deps/v8/tools/clusterfuzz/js_fuzzer/source_helpers.js
