Line,Smell,Number of Parameters,Threshold,File
20,long parameters,7,5,../input_projects/multi_projects/node/benchmark/crypto/aes-gcm-throughput.js
20,long parameters,6,5,../input_projects/multi_projects/node/benchmark/crypto/hkdf.js
27,long parameters,6,5,../input_projects/multi_projects/node/benchmark/crypto/hkdf.js
47,long parameters,6,5,../input_projects/multi_projects/node/benchmark/crypto/hash-stream-creation.js
61,long parameters,6,5,../input_projects/multi_projects/node/benchmark/crypto/hash-stream-creation.js
16176,long parameters,8,5,../input_projects/multi_projects/node/tools/github_reporter/index.js
21,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-crypto-pbkdf2.js
14,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-vm-global-get-own.js
15,long parameters,9,5,../input_projects/multi_projects/node/test/parallel/test-tls-min-max-version.js
254,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-keygen.js
120,long parameters,7,5,../input_projects/multi_projects/node/test/parallel/test-http-parser.js
148,long parameters,7,5,../input_projects/multi_projects/node/test/parallel/test-http-parser.js
16,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-tls-set-ciphers.js
388,long parameters,7,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits-hkdf.js
417,long parameters,7,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits-hkdf.js
461,long parameters,7,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits-hkdf.js
482,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits-hkdf.js
42,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits.js
74,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-derivebits.js
15,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-webcrypto-encrypt-decrypt-rsa.js
62,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-fs-utimes.js
16,long parameters,6,5,../input_projects/multi_projects/node/test/parallel/test-fs-promises-file-handle-read.js
2477,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
4021,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
7232,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
8226,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
10639,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
10752,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
10804,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
15269,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
15274,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
15279,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18507,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18520,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18704,long parameters,8,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18734,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18789,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
18847,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
20648,long parameters,9,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
22824,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
22841,long parameters,8,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
22857,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
22863,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
22875,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23228,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23249,long parameters,8,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23298,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23315,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23327,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23335,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23346,long parameters,9,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23371,long parameters,10,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23420,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23425,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23442,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23804,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23869,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
23881,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24268,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24290,long parameters,8,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24302,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24316,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24511,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24627,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
24633,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25123,long parameters,8,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25148,long parameters,9,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25161,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25175,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25186,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25193,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25211,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25319,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25341,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25501,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25514,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25734,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25743,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25755,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
25764,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
26398,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
26420,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
27573,long parameters,11,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
29650,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
29674,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
29970,long parameters,7,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
30075,long parameters,6,5,../input_projects/multi_projects/node/test/fixtures/snapshot/typescript.js
