Line,Smell,Cause,Number of Conditions,Threshold,File
47,complex conditional,long if,10,3,../input_projects/multi_projects/node/tools/pseudo-tty.py
126,complex conditional,long if,12,3,../input_projects/multi_projects/node/tools/gypi_to_gn.py
169,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gypi_to_gn.py
184,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gypi_to_gn.py
100,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/pdl.py
118,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/pdl.py
93,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
329,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
384,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
439,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
478,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
759,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
814,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
852,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
897,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
918,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1103,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1139,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1228,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1280,complex conditional,long if,20,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1579,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1588,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
82,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/idtracking.py
177,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/idtracking.py
211,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/idtracking.py
68,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
254,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
560,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
620,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
321,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
406,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
478,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
554,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
627,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
684,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
698,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
708,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
771,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
833,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
868,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
183,complex conditional,long if,14,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/sandbox.py
60,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/visitor.py
212,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/utils.py
260,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/debug.py
563,complex conditional,long if,13,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
642,complex conditional,long if,14,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
702,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
453,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
668,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
17,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/exceptions.py
51,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/nativetypes.py
109,complex conditional,long if,17,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/nativetypes.py
20,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/_compat.py
130,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/nodes.py
170,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/nodes.py
31,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/bccache.py
68,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
409,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
477,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
560,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
278,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
330,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
385,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
493,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
77,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/meta.py
94,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/meta.py
177,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
196,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
220,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
449,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/inspector_protocol/code_generator.py
478,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/inspector_protocol/code_generator.py
217,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/test.py
304,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
370,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/test.py
470,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/test.py
635,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1040,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1052,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1104,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/test.py
1155,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/test.py
1438,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/test.py
1455,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1569,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1739,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/test.py
1752,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/test.py
10,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/zos/sdwrap.py
39,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/zos/sdwrap.py
12,complex conditional,long if,15,3,../input_projects/multi_projects/node/tools/mkssldef.py
50,complex conditional,long if,12,3,../input_projects/multi_projects/node/tools/utils.py
86,complex conditional,long if,11,3,../input_projects/multi_projects/node/tools/utils.py
134,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/tools/pretty_vcproj.py
167,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/tools/pretty_vcproj.py
123,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/tools/pretty_gyp.py
149,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/tags.py
252,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/tags.py
353,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/tags.py
477,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/tags.py
407,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/metadata.py
451,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/metadata.py
677,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/metadata.py
735,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/metadata.py
456,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/version.py
100,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/_parser.py
345,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/_parser.py
57,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/markers.py
86,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/markers.py
143,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/markers.py
267,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/specifiers.py
821,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/specifiers.py
1003,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/specifiers.py
105,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
615,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
1062,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
1233,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
69,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
266,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
481,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
610,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
657,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
939,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1020,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1062,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1263,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1287,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1791,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
319,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
614,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
783,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
824,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
977,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1329,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1443,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1558,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1742,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1923,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2115,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2361,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2500,complex conditional,long if,14,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2950,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
106,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
122,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
512,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
566,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
94,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/win_tool.py
29,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
259,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
485,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
511,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
540,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
561,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
354,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSNew.py
305,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
438,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
480,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
786,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1071,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1215,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1309,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1372,complex conditional,long if,10,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1425,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1506,complex conditional,long if,11,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1578,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1875,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1943,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1987,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
2091,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
2312,complex conditional,long if,6,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
2362,complex conditional,long if,7,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
2841,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
198,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
262,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
401,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
755,complex conditional,long if,8,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
1070,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
730,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
855,complex conditional,long if,24,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
1107,complex conditional,long if,9,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
113,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
224,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
288,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
375,complex conditional,long if,11,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
1340,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
1396,complex conditional,long if,5,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
1984,complex conditional,long if,4,3,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
