Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
244,long class,1477,200,87,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
32,long class,871,200,53,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
306,long class,174,200,22,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/utils.py
412,long class,327,200,5,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
113,long class,773,200,29,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
889,long class,246,200,18,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
158,long class,245,200,10,20,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
340,long class,229,200,21,20,../input_projects/multi_projects/node/tools/inspector_protocol/code_generator.py
159,long class,290,200,17,20,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/version.py
107,long class,533,200,22,20,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/specifiers.py
703,long class,327,200,13,20,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/specifiers.py
200,long class,807,200,45,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
148,long class,1214,200,73,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
200,long class,741,200,28,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
944,long class,213,200,7,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
1160,long class,336,200,12,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2431,long class,297,200,7,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2735,long class,393,200,23,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
35,long class,334,200,17,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/win_tool.py
213,long class,1766,200,40,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
112,long class,407,200,4,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
102,long class,916,200,21,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
763,long class,1585,200,34,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
15,long class,1528,200,10,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSSettings_test.py
33,long class,656,200,28,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/mac_tool.py
1653,long class,286,200,13,20,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/input.py
2968,long class,371,200,11,20,../input_projects/multi_projects/node/tools/cpplint.py
124,long class,516,200,30,20,../input_projects/multi_projects/node/deps/v8/tools/testrunner/base_runner.py
71,long class,301,200,18,20,../input_projects/multi_projects/node/deps/v8/tools/testrunner/standard_runner.py
84,long class,482,200,69,20,../input_projects/multi_projects/node/deps/v8/tools/testrunner/objects/testcase.py
171,long class,209,200,12,20,../input_projects/multi_projects/node/deps/v8/tools/testrunner/local/pool.py
41,long class,497,200,41,20,../input_projects/multi_projects/node/deps/v8/tools/testrunner/standard_runner_test.py
63,long class,205,200,11,20,../input_projects/multi_projects/node/deps/v8/tools/stats-viewer.py
137,long class,684,200,46,20,../input_projects/multi_projects/node/deps/v8/tools/unittests/run_perf_test.py
615,long class,511,200,57,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
1220,long class,111,200,22,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
1754,long class,178,200,23,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
2030,long class,376,200,25,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
2739,long class,604,200,30,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
3490,long class,361,200,35,20,../input_projects/multi_projects/node/deps/v8/tools/grokdump.py
100,long class,195,200,26,20,../input_projects/multi_projects/node/deps/v8/tools/release/git_recipes.py
307,long class,323,200,32,20,../input_projects/multi_projects/node/deps/v8/tools/release/common_includes.py
196,long class,700,200,37,20,../input_projects/multi_projects/node/deps/v8/tools/release/test_scripts.py
78,long class,1147,200,58,20,../input_projects/multi_projects/node/deps/v8/tools/mb/mb.py
179,long class,494,200,23,20,../input_projects/multi_projects/node/deps/v8/tools/mb/mb_test.py
64,long class,239,200,15,20,../input_projects/multi_projects/node/deps/v8/tools/dev/v8gen.py
181,long class,216,200,18,20,../input_projects/multi_projects/node/deps/v8/tools/perf-compare.py
127,long class,279,200,12,20,../input_projects/multi_projects/node/deps/v8/tools/gcmole/gcmole_test.py
223,long class,241,200,23,20,../input_projects/multi_projects/node/deps/v8/tools/cppgc/gen_cmake.py
300,long class,1657,200,96,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/compiler.py
46,long class,986,200,57,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/parser.py
187,long class,206,200,10,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/sandbox.py
469,long class,397,200,6,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/lexer.py
142,long class,985,200,35,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/environment.py
1130,long class,382,200,20,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/environment.py
245,long class,331,200,12,20,../input_projects/multi_projects/node/deps/v8/third_party/jinja2/ext.py
358,long class,237,200,21,20,../input_projects/multi_projects/node/deps/v8/third_party/inspector_protocol/code_generator.py
18,long class,189,200,28,20,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/test/test_monkeyYaml.py
229,long class,167,200,23,20,../input_projects/multi_projects/node/deps/v8/third_party/test262-harness/src/test262.py
