Line,Smell,Number of Lines,Threshold,File
49,long method,116,100,../input_projects/multi_projects/node/tools/inspector_protocol/pdl.py
695,long method,114,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1024,long method,128,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
1221,long method,143,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
420,long method,126,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
599,long method,140,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/lexer.py
39,long method,156,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/nativetypes.py
217,long method,103,100,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
245,long method,181,100,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
572,long method,125,100,../input_projects/multi_projects/node/tools/inspector_protocol/code_generator.py
1595,long method,206,100,../input_projects/multi_projects/node/tools/test.py
295,long method,173,100,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/metadata.py
643,long method,128,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
571,long method,124,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
895,long method,101,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
1699,long method,112,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
760,long method,102,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2488,long method,121,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
262,long method,162,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
169,long method,102,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSUtil.py
55,long method,113,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
331,long method,344,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
230,long method,135,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSNew.py
378,long method,172,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
686,long method,143,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1057,long method,226,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1349,long method,221,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
2209,long method,670,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
138,long method,248,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
641,long method,750,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/xcode.py
336,long method,115,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
454,long method,105,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
624,long method,513,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
1140,long method,118,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
2475,long method,199,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
2677,long method,221,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
3680,long method,148,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
111,long method,140,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
253,long method,104,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
1032,long method,141,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/android.py
816,long method,151,100,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/make.py
