Line,Smell,Number of Parameters,Threshold,File
192,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/asyncsupport.py
74,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
246,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/compiler.py
59,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
485,long parameters,9,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/runtime.py
37,long parameters,6,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/parser.py
264,long parameters,23,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
356,long parameters,20,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
438,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
554,long parameters,6,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
638,long parameters,8,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
919,long parameters,20,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/environment.py
499,long parameters,6,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
578,long parameters,6,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/filters.py
119,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
357,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/jinja2/ext.py
107,long parameters,6,5,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
128,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
141,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
148,long parameters,9,5,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
165,long parameters,9,5,../input_projects/multi_projects/node/tools/inspector_protocol/check_protocol_compatibility.py
492,long parameters,7,5,../input_projects/multi_projects/node/tools/inspector_protocol/code_generator.py
762,long parameters,6,5,../input_projects/multi_projects/node/tools/test.py
871,long parameters,7,5,../input_projects/multi_projects/node/tools/test.py
896,long parameters,6,5,../input_projects/multi_projects/node/tools/test.py
926,long parameters,12,5,../input_projects/multi_projects/node/tools/test.py
503,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/packaging/version.py
298,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
353,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
359,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
643,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
773,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
1023,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
1057,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/msvs_emulation.py
1233,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcode_emulation.py
2342,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
2488,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/xcodeproj_file.py
22,long parameters,11,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSVersion.py
152,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/win_tool.py
272,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/win_tool.py
55,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/__init__.py
24,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSToolFile.py
78,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSNew.py
118,long parameters,9,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSNew.py
193,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/MSVSNew.py
214,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
290,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
686,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1012,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1057,long parameters,9,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1307,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1349,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1572,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1716,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
1898,long parameters,8,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/ninja.py
247,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
336,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
624,long parameters,10,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/cmake.py
362,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
495,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
659,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
895,long parameters,7,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
1440,long parameters,6,5,../input_projects/multi_projects/node/tools/gyp/pylib/gyp/generator/msvs.py
