Line,Smell,Cause,Number of Conditions,Threshold,File
20,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/image-url-generator.js
90,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/vendor/jquery.fileupload-validate.js
197,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/vendor/jquery.fileupload-image.js
231,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/vendor/jquery.fileupload-image.js
10,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long if,11,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,12,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
11,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long switch,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/rangy-core.js
10,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
750,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
817,complex conditional,long if,13,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1095,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1143,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1162,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1288,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1399,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1859,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1897,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1910,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1949,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2017,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2066,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2171,complex conditional,long if,9,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2295,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2386,complex conditional,long if,15,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2618,complex conditional,long if,12,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
10,complex conditional,long switch,24,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
10,complex conditional,long switch,7,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2620,complex conditional,long switch,9,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
155,complex conditional,long if,7,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/bootstrap-modal.js
230,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/tag-it.js
246,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/tag-it.js
405,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/tag-it.js
432,complex conditional,long if,8,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
505,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
525,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
916,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
964,complex conditional,long if,7,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
1057,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
1104,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
1136,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
1195,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
1379,complex conditional,long if,7,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload.js
135,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.fileupload-process.js
40,complex conditional,long if,12,3,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.iframe-transport.js
121,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/bulk-actions.js
137,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/bulk-actions.js
59,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/client/src/includes/sidePanel.js
56,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/tabs.js
207,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/tabs.js
317,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/client/src/includes/tabs.js
260,complex conditional,long switch,5,3,../input_projects/multi_projects/wagtail/client/src/includes/tabs.js
8,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/chooserModal.js
79,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/includes/chooserModal.js
90,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/client/src/utils/version.js
56,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/ExpandingFormset/index.js
11,complex conditional,long switch,4,3,../input_projects/multi_projects/wagtail/client/src/components/Draftail/Tooltip/Tooltip.js
24,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/client/src/components/Draftail/decorators/Link.js
84,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/Draftail/sources/ModalWorkflowSource.js
250,complex conditional,long if,7,3,../input_projects/multi_projects/wagtail/client/src/components/Draftail/sources/ModalWorkflowSource.js
52,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/ChooserWidget/index.js
131,complex conditional,long if,9,3,../input_projects/multi_projects/wagtail/client/src/components/ChooserWidget/index.js
77,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/InlinePanel/index.js
244,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/BaseSequenceBlock.js
666,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/BaseSequenceBlock.js
18,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/StructBlock.js
298,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/client/src/components/StreamField/blocks/StreamBlock.js
556,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/client/src/entrypoints/contrib/typed_table_block/typed_table_block.js
