Line,Smell,Number of Lines,Threshold,File
1,long method,236,100,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/add-multiple.js
35,long method,280,100,../input_projects/multi_projects/wagtail/wagtail/images/static_src/wagtailimages/js/vendor/jquery.fileupload-image.js
2,long method,180,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/urlify.js
2323,long method,209,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2783,long method,111,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
19,long method,2657,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
782,long method,156,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
783,long method,154,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
940,long method,1726,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
990,long method,1586,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1122,long method,203,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1365,long method,194,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1666,long method,281,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
1668,long method,277,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
2134,long method,107,100,../input_projects/multi_projects/wagtail/wagtail/admin/static_src/wagtailadmin/js/vendor/jquery.datetimepicker.js
