Line,Smell,Cause,Number of Conditions,Threshold,File
22,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/conftest.py
48,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/blocks/list_block.py
15,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/utils.py
67,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/utils.py
320,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
48,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/struct_block.py
192,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/stream_block.py
675,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/stream_block.py
713,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/stream_block.py
564,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
614,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
651,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
117,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/templatetags/wagtailcore_tags.py
146,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/templatetags/wagtailcore_tags.py
107,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/snippets/action_menu.py
307,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/snippets/action_menu.py
473,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/snippets/views/snippets.py
236,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/collections.py
299,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/collections.py
374,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/collections.py
471,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/collections.py
370,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/base.py
387,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/permission_policies/base.py
145,complex conditional,long if,6,3,../input_projects/multi_projects/wagtail/wagtail/fields.py
592,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/query.py
63,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_factories/builder.py
122,complex conditional,long if,5,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_tests.py
145,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_tests.py
163,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_tests.py
174,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/form_data.py
192,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/form_data.py
106,complex conditional,long if,4,3,../input_projects/multi_projects/wagtail/wagtail/test/utils/page_tests.py
