Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
140,long class,259,200,16,20,../input_projects/multi_projects/wagtail/wagtail/blocks/list_block.py
108,long class,258,200,19,20,../input_projects/multi_projects/wagtail/wagtail/blocks/struct_block.py
77,long class,351,200,19,20,../input_projects/multi_projects/wagtail/wagtail/blocks/stream_block.py
435,long class,331,200,34,20,../input_projects/multi_projects/wagtail/wagtail/blocks/stream_block.py
55,long class,394,200,27,20,../input_projects/multi_projects/wagtail/wagtail/blocks/base.py
19,long class,257,200,10,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_preview.py
12,long class,229,200,14,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_bulk_actions/test_bulk_delete.py
1191,long class,234,200,8,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_viewset.py
77,long class,237,200,17,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_locking.py
321,long class,362,200,8,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_locking.py
115,long class,234,200,19,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
718,long class,249,200,24,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
1066,long class,425,200,12,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
1540,long class,222,200,19,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
1884,long class,1349,200,24,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
3236,long class,214,200,4,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
3593,long class,214,200,10,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
3810,long class,208,200,13,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
4265,long class,297,200,14,20,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
515,long class,772,200,70,20,../input_projects/multi_projects/wagtail/wagtail/snippets/views/snippets.py
9,long class,338,200,0,20,../input_projects/multi_projects/wagtail/wagtail/migrations/0047_add_workflow_models.py
128,long class,368,200,0,20,../input_projects/multi_projects/wagtail/wagtail/migrations/0001_squashed_0016_change_page_url_path_to_text_field.py
23,long class,268,200,0,20,../input_projects/multi_projects/wagtail/wagtail/migrations/0001_initial.py
6,long class,266,200,0,20,../input_projects/multi_projects/wagtail/wagtail/migrations/0021_capitalizeverbose.py
8,long class,207,200,16,20,../input_projects/multi_projects/wagtail/wagtail/permission_policies/pages.py
181,long class,327,200,29,20,../input_projects/multi_projects/wagtail/wagtail/query.py
23,long class,4186,200,0,20,../input_projects/multi_projects/wagtail/wagtail/test/testapp/migrations/0001_squashed_0073_revisablechildmodel_secret_text.py
7,long class,379,200,0,20,../input_projects/multi_projects/wagtail/wagtail/test/testapp/migrations/0002_recreate_setting_models.py
9,long class,328,200,0,20,../input_projects/multi_projects/wagtail/wagtail/test/streamfield_migrations/migrations/0001_initial.py
10,long class,246,200,15,20,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_tests.py
21,long class,430,200,11,20,../input_projects/multi_projects/wagtail/wagtail/test/utils/page_tests.py
9,long class,1313,200,0,20,../input_projects/multi_projects/wagtail/wagtail/test/demosite/migrations/0001_initial.py
128,long class,256,200,6,20,../input_projects/multi_projects/wagtail/wagtail/bin/wagtail.py
242,long class,571,200,29,20,../input_projects/multi_projects/wagtail/wagtail/images/models.py
836,long class,218,200,9,20,../input_projects/multi_projects/wagtail/wagtail/images/models.py
494,long class,397,200,27,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_models.py
41,long class,299,200,20,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
459,long class,329,200,18,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
871,long class,374,200,23,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
1892,long class,284,200,13,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
2258,long class,485,200,19,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
2747,long class,277,200,10,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
3028,long class,234,200,7,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/test_admin_views.py
42,long class,163,200,21,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/tests.py
336,long class,246,200,15,20,../input_projects/multi_projects/wagtail/wagtail/images/tests/tests.py
22,long class,180,200,22,20,../input_projects/multi_projects/wagtail/wagtail/images/rect.py
22,long class,626,200,42,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
791,long class,331,200,14,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
18,long class,245,200,10,20,../input_projects/multi_projects/wagtail/wagtail/tests/streamfield_migrations/test_simple_structures.py
8,long class,208,200,11,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_privacy.py
10,long class,163,200,23,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_assertions.py
53,long class,221,200,24,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
722,long class,385,200,26,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
1110,long class,383,200,26,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
1684,long class,573,200,32,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
2437,long class,525,200,29,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
3026,long class,1202,200,51,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
4404,long class,215,200,22,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
5036,long class,210,200,8,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
5286,long class,310,200,12,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_blocks.py
29,long class,232,200,11,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_reference_index.py
264,long class,216,200,4,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_reference_index.py
68,long class,467,200,23,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_audit_log.py
180,long class,223,200,9,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_management_commands.py
285,long class,218,200,12,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
517,long class,214,200,8,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
1232,long class,965,200,37,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
2200,long class,505,200,19,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_model.py
121,long class,342,200,20,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_workflow.py
42,long class,240,200,9,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_telepath.py
148,long class,510,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
661,long class,566,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
1230,long class,355,200,14,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
27,long class,831,200,31,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_permissions.py
28,long class,229,200,22,20,../input_projects/multi_projects/wagtail/wagtail/tests/tests.py
281,long class,203,200,8,20,../input_projects/multi_projects/wagtail/wagtail/tests/tests.py
138,long class,383,200,13,20,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_permission_policies.py
