Line,Smell,Threshold,File
263,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
284,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
309,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
315,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
49,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/migrations/0048_add_default_workflows.py
67,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/migrations/0048_add_default_workflows.py
561,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/query.py
10,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/images/migrations/0004_make_focal_point_key_not_nullable.py
39,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/images/utils.py
876,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
935,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
1145,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
1156,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
1168,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_queryset.py
435,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/tests/test_workflow.py
3016,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_workflows.py
121,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/home.py
161,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/home.py
261,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/home.py
655,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/chooser.py
55,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/bulk_actions/unpublish.py
51,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/bulk_actions/publish.py
171,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/edit.py
59,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/listing.py
94,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/listing.py
192,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/reports/workflows.py
266,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/reports/workflows.py
99,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/admin/views/reports/aging_pages.py
1374,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2678,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2829,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
3634,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
3796,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
3936,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
4088,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
24,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/sites.py
353,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/models/i18n.py
160,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/signal_handlers.py
31,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/contrib/sitemaps/sitemap_generator.py
58,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_bulk_actions/test_bulk_assign_role.py
82,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_bulk_actions/test_bulk_assign_role.py
106,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/users/tests/test_bulk_actions/test_bulk_assign_role.py
61,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/actions/unpublish_page.py
25,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
150,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
1438,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
1453,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
1866,long message chain,4,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
