Line,Smell,Number of Lines,Threshold,File
2934,long method,104,100,../input_projects/multi_projects/wagtail/wagtail/snippets/tests/test_snippets.py
1121,long method,112,100,../input_projects/multi_projects/wagtail/wagtail/snippets/views/snippets.py
296,long method,104,100,../input_projects/multi_projects/wagtail/wagtail/query.py
271,long method,166,100,../input_projects/multi_projects/wagtail/wagtail/tests/test_reference_index.py
17,long method,128,100,../input_projects/multi_projects/wagtail/wagtail/tests/test_collection_permission_policies.py
11,long method,124,100,../input_projects/multi_projects/wagtail/wagtail/tests/test_page_permission_policies.py
81,long method,103,100,../input_projects/multi_projects/wagtail/wagtail/tests/test_permission_policies.py
613,long method,104,100,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_edit_handlers.py
742,long method,141,100,../input_projects/multi_projects/wagtail/wagtail/admin/tests/api/test_pages.py
1436,long method,102,100,../input_projects/multi_projects/wagtail/wagtail/admin/tests/pages/test_edit_page.py
419,long method,427,100,../input_projects/multi_projects/wagtail/wagtail/admin/wagtail_hooks.py
998,long method,120,100,../input_projects/multi_projects/wagtail/wagtail/admin/wagtail_hooks.py
234,long method,172,100,../input_projects/multi_projects/wagtail/wagtail/admin/views/chooser.py
602,long method,115,100,../input_projects/multi_projects/wagtail/wagtail/admin/views/chooser.py
16,long method,103,100,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/delete.py
36,long method,109,100,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/revisions.py
135,long method,124,100,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/edit.py
52,long method,113,100,../input_projects/multi_projects/wagtail/wagtail/management/commands/fixtree.py
1763,long method,117,100,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
288,long method,104,100,../input_projects/multi_projects/wagtail/wagtail/models/reference_index.py
16,long method,112,100,../input_projects/multi_projects/wagtail/wagtail/contrib/forms/tests/test_forms.py
18,long method,125,100,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/tests/test_redirects.py
75,long method,124,100,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/management/commands/import_redirects.py
109,long method,368,100,../input_projects/multi_projects/wagtail/wagtail/wagtail_hooks.py
13,long method,101,100,../input_projects/multi_projects/wagtail/wagtail/users/templatetags/wagtailusers_tags.py
96,long method,156,100,../input_projects/multi_projects/wagtail/wagtail/actions/create_alias.py
110,long method,256,100,../input_projects/multi_projects/wagtail/wagtail/actions/copy_page.py
103,long method,123,100,../input_projects/multi_projects/wagtail/wagtail/actions/publish_revision.py
1285,long method,105,100,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
61,long method,192,100,../input_projects/multi_projects/wagtail/wagtail/api/v2/utils.py
225,long method,111,100,../input_projects/multi_projects/wagtail/wagtail/api/v2/views.py
