Line,Smell,Number of Parameters,Threshold,File
17,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/blocks/migrations/migrate_operation.py
559,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/blocks/base.py
145,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
172,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
221,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
243,long parameters,10,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
277,long parameters,10,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
305,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
347,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
386,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
416,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
461,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
486,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
664,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
740,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/blocks/field_block.py
130,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/snippets/action_menu.py
18,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/test/customuser/models.py
12,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/test/emailuser/models.py
195,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/test/utils/wagtail_tests.py
72,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/test/utils/page_tests.py
216,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/test/utils/page_tests.py
378,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/test/utils/page_tests.py
203,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/bin/wagtail.py
107,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/images/templatetags/wagtailimages_tags.py
39,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/images/views/serve.py
75,long parameters,10,5,../input_projects/multi_projects/wagtail/wagtail/admin/templatetags/wagtailadmin_tags.py
713,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/templatetags/wagtailadmin_tags.py
1147,long parameters,12,5,../input_projects/multi_projects/wagtail/wagtail/admin/templatetags/wagtailadmin_tags.py
27,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/sidebar.py
61,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/sidebar.py
104,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/sidebar.py
151,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/sidebar.py
198,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/sidebar.py
43,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/tables/__init__.py
179,long parameters,11,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/tables/__init__.py
361,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/tables/__init__.py
407,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/tables/__init__.py
88,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/tables/pages.py
67,long parameters,11,5,../input_projects/multi_projects/wagtail/wagtail/admin/ui/side_panels.py
137,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/forms/pages.py
176,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/forms/workflows.py
25,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/panels/title_field_panel.py
15,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/panels/inline_panel.py
21,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/panels/field_panel.py
73,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/panels/base.py
231,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/panels/base.py
23,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/tests/test_userbar.py
15,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/menu.py
138,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/action_menu.py
18,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/search.py
59,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/chooser.py
141,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/preview.py
1150,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/models.py
1361,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/models.py
26,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/generic/workflow.py
40,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/bulk_actions/unpublish.py
152,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/revisions.py
194,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/views/pages/revisions.py
120,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/compare.py
497,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/compare.py
99,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/admin/filters.py
22,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/widgets/button.py
99,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/widgets/button.py
140,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/admin/widgets/button.py
197,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/admin/widgets/button.py
95,long parameters,9,5,../input_projects/multi_projects/wagtail/wagtail/admin/widgets/filtered_select.py
52,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/management/commands/fixtree.py
41,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/utils/sendfile.py
381,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
535,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
1650,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
1884,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2325,long parameters,11,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2359,long parameters,10,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
2853,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/models/__init__.py
21,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/contrib/settings/registry.py
86,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/contrib/settings/views.py
173,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/contrib/routable_page/models.py
96,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/contrib/redirects/models.py
67,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/sqlite/query.py
37,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/postgres/query.py
48,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/database/mysql/query.py
39,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/base.py
468,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/base.py
485,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/backends/base.py
5,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/queryset.py
25,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/search/queryset.py
18,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/actions/unpublish_page.py
55,long parameters,11,5,../input_projects/multi_projects/wagtail/wagtail/actions/create_alias.py
96,long parameters,11,5,../input_projects/multi_projects/wagtail/wagtail/actions/create_alias.py
20,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/actions/unpublish.py
50,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/actions/unpublish.py
21,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/actions/revert_to_page_revision.py
36,long parameters,12,5,../input_projects/multi_projects/wagtail/wagtail/actions/copy_page.py
110,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/actions/copy_page.py
51,long parameters,8,5,../input_projects/multi_projects/wagtail/wagtail/actions/copy_for_translation.py
94,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/actions/copy_for_translation.py
44,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/actions/publish_revision.py
103,long parameters,7,5,../input_projects/multi_projects/wagtail/wagtail/actions/publish_revision.py
396,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/api/v2/serializers.py
225,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/api/v2/views.py
155,long parameters,6,5,../input_projects/multi_projects/wagtail/wagtail/log_actions.py
