Line,Smell,Cause,Number of Conditions,Threshold,File
223,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
286,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
398,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
578,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
699,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
1404,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
1231,complex conditional,long switch,11,3,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
250,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/third/bootstrap-typeahead/typeahead.js
455,complex conditional,long switch,6,3,../input_projects/multi_projects/zulip/web/third/bootstrap-typeahead/typeahead.js
508,complex conditional,long switch,13,3,../input_projects/multi_projects/zulip/web/third/bootstrap-typeahead/typeahead.js
126,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/tests/recent_view.test.js
106,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/tests/lib/mdiff.js
114,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/src/compose_tooltips.js
132,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/src/message_scroll.js
293,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/ui_init.js
487,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/ui_init.js
48,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/settings_profile_fields.js
195,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/settings_profile_fields.js
524,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/settings_profile_fields.js
38,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/scheduled_messages_ui.js
336,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/web/src/message_edit.js
378,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/message_edit.js
623,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/message_edit.js
746,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/message_edit.js
1053,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/web/src/message_edit.js
9,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/src/desktop_integration.js
379,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/unread.js
483,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/unread.js
676,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/unread.js
867,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/unread.js
181,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/web/src/message_events.js
267,complex conditional,long if,17,3,../input_projects/multi_projects/zulip/web/src/message_events.js
490,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/message_events.js
244,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/web/src/stream_popover.js
251,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
662,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
765,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
91,complex conditional,long switch,140,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
249,complex conditional,long switch,18,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
283,complex conditional,long switch,10,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
358,complex conditional,long switch,4,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
406,complex conditional,long switch,6,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
460,complex conditional,long switch,6,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
523,complex conditional,long switch,10,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
597,complex conditional,long switch,7,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
833,complex conditional,long switch,4,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
862,complex conditional,long switch,9,3,../input_projects/multi_projects/zulip/web/src/server_events_dispatch.js
14,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/topic_generator.js
39,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/web/src/narrow_banner.js
100,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/web/src/narrow_banner.js
242,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/web/src/narrow_banner.js
165,complex conditional,long switch,25,3,../input_projects/multi_projects/zulip/web/src/narrow_banner.js
