Line,Smell,Number of Lines,Threshold,File
81,long method,123,100,../input_projects/multi_projects/zulip/web/third/bootstrap/js/bootstrap.js
7,long method,1547,100,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
161,long method,300,100,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
631,long method,221,100,../input_projects/multi_projects/zulip/web/third/marked/lib/marked.js
138,long method,521,100,../input_projects/multi_projects/zulip/web/third/bootstrap-typeahead/typeahead.js
43,long method,159,100,../input_projects/multi_projects/zulip/web/tests/narrow_unread.test.js
18,long method,170,100,../input_projects/multi_projects/zulip/web/tests/compose_pm_pill.test.js
172,long method,121,100,../input_projects/multi_projects/zulip/web/tests/components.test.js
265,long method,196,100,../input_projects/multi_projects/zulip/web/tests/compose_ui.test.js
530,long method,235,100,../input_projects/multi_projects/zulip/web/tests/compose_ui.test.js
811,long method,133,100,../input_projects/multi_projects/zulip/web/tests/compose_ui.test.js
946,long method,133,100,../input_projects/multi_projects/zulip/web/tests/compose_ui.test.js
1168,long method,129,100,../input_projects/multi_projects/zulip/web/tests/compose_ui.test.js
75,long method,163,100,../input_projects/multi_projects/zulip/web/tests/bot_data.test.js
88,long method,136,100,../input_projects/multi_projects/zulip/web/tests/unread.test.js
472,long method,126,100,../input_projects/multi_projects/zulip/web/tests/unread.test.js
94,long method,119,100,../input_projects/multi_projects/zulip/web/tests/settings_org.test.js
491,long method,167,100,../input_projects/multi_projects/zulip/web/tests/settings_org.test.js
30,long method,285,100,../input_projects/multi_projects/zulip/web/tests/search.test.js
48,long method,171,100,../input_projects/multi_projects/zulip/web/tests/search.test.js
108,long method,242,100,../input_projects/multi_projects/zulip/web/tests/pill_typeahead.test.js
133,long method,180,100,../input_projects/multi_projects/zulip/web/tests/pill_typeahead.test.js
28,long method,190,100,../input_projects/multi_projects/zulip/web/tests/stream_settings_ui.test.js
70,long method,177,100,../input_projects/multi_projects/zulip/web/tests/compose_video.test.js
377,long method,105,100,../input_projects/multi_projects/zulip/web/tests/input_pill.test.js
248,long method,123,100,../input_projects/multi_projects/zulip/web/tests/user_topics.test.js
167,long method,165,100,../input_projects/multi_projects/zulip/web/tests/hashchange.test.js
385,long method,104,100,../input_projects/multi_projects/zulip/web/tests/list_widget.test.js
667,long method,105,100,../input_projects/multi_projects/zulip/web/tests/list_widget.test.js
11,long method,118,100,../input_projects/multi_projects/zulip/web/tests/rtl.test.js
11,long method,140,100,../input_projects/multi_projects/zulip/web/tests/settings_config.test.js
92,long method,172,100,../input_projects/multi_projects/zulip/web/tests/stream_events.test.js
431,long method,280,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
719,long method,582,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
825,long method,152,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
980,long method,162,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
1303,long method,209,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
1647,long method,155,100,../input_projects/multi_projects/zulip/web/tests/composebox_typeahead.test.js
471,long method,155,100,../input_projects/multi_projects/zulip/web/tests/drafts.test.js
628,long method,146,100,../input_projects/multi_projects/zulip/web/tests/drafts.test.js
118,long method,135,100,../input_projects/multi_projects/zulip/web/tests/search_suggestion.test.js
255,long method,156,100,../input_projects/multi_projects/zulip/web/tests/search_suggestion.test.js
837,long method,162,100,../input_projects/multi_projects/zulip/web/tests/search_suggestion.test.js
110,long method,121,100,../input_projects/multi_projects/zulip/web/tests/typing_data.test.js
207,long method,148,100,../input_projects/multi_projects/zulip/web/tests/compose.test.js
603,long method,174,100,../input_projects/multi_projects/zulip/web/tests/compose.test.js
626,long method,125,100,../input_projects/multi_projects/zulip/web/tests/compose.test.js
559,long method,255,100,../input_projects/multi_projects/zulip/web/tests/reactions.test.js
114,long method,127,100,../input_projects/multi_projects/zulip/web/tests/compose_actions.test.js
356,long method,105,100,../input_projects/multi_projects/zulip/web/tests/compose_actions.test.js
147,long method,233,100,../input_projects/multi_projects/zulip/web/tests/topic_list_data.test.js
201,long method,324,100,../input_projects/multi_projects/zulip/web/tests/narrow.test.js
510,long method,123,100,../input_projects/multi_projects/zulip/web/tests/recent_view.test.js
681,long method,121,100,../input_projects/multi_projects/zulip/web/tests/recent_view.test.js
815,long method,130,100,../input_projects/multi_projects/zulip/web/tests/recent_view.test.js
308,long method,172,100,../input_projects/multi_projects/zulip/web/tests/message_fetch.test.js
56,long method,147,100,../input_projects/multi_projects/zulip/web/tests/message_list_view.test.js
277,long method,127,100,../input_projects/multi_projects/zulip/web/tests/message_list_view.test.js
406,long method,282,100,../input_projects/multi_projects/zulip/web/tests/message_list_view.test.js
690,long method,112,100,../input_projects/multi_projects/zulip/web/tests/message_list_view.test.js
98,long method,104,100,../input_projects/multi_projects/zulip/web/tests/message_list_view.test.js
279,long method,127,100,../input_projects/multi_projects/zulip/web/tests/people.test.js
838,long method,128,100,../input_projects/multi_projects/zulip/web/tests/people.test.js
81,long method,251,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
418,long method,101,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
685,long method,240,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
1018,long method,113,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
1174,long method,115,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
1492,long method,360,100,../input_projects/multi_projects/zulip/web/tests/filter.test.js
66,long method,273,100,../input_projects/multi_projects/zulip/web/tests/notifications.test.js
341,long method,101,100,../input_projects/multi_projects/zulip/web/tests/notifications.test.js
127,long method,170,100,../input_projects/multi_projects/zulip/web/tests/message_list_data.test.js
455,long method,101,100,../input_projects/multi_projects/zulip/web/tests/hotkey.test.js
152,long method,125,100,../input_projects/multi_projects/zulip/web/tests/message_flags.test.js
