Line,Smell,Cause,Number of Conditions,Threshold,File
456,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
76,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/support.py
115,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/support.py
1143,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1214,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1229,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1503,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1721,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1971,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2002,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2051,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2083,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2191,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2483,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2526,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2754,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2854,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3095,complex conditional,long if,11,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3197,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3221,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3696,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
4036,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
308,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
101,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/corporate/views/portico.py
148,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/views/portico.py
205,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/corporate/views/portico.py
156,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/tools/documentation_crawler/documentation_crawler/spiders/common/spiders.py
232,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/documentation_crawler/documentation_crawler/spiders/common/spiders.py
315,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/tools/droplets/create.py
17,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/tools/droplets/cleanup.py
70,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/pretty_print.py
84,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/pretty_print.py
131,complex conditional,long if,31,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
329,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
438,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
479,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
507,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
573,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
595,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
79,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/tools/lib/provision.py
163,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/tools/lib/provision.py
288,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/tools/lib/provision.py
260,complex conditional,long if,12,3,../input_projects/multi_projects/zulip/tools/lib/provision_inner.py
235,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_billing_realms.py
311,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_billing_realms.py
391,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_billing_realms.py
429,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_billing_realms.py
322,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
917,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
1164,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
1192,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
149,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zilencer/views.py
1012,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zilencer/views.py
1084,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zilencer/views.py
128,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/scripts/setup/generate_secrets.py
56,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/scripts/lib/sharding.py
59,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/scripts/lib/supervisor.py
717,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/scripts/lib/zulip_tools.py
70,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/scripts/lib/setup_venv.py
80,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/manage.py
119,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/manage.py
26,complex conditional,long if,9,3,../input_projects/multi_projects/zulip/zerver/signals.py
48,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/signals.py
87,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/signals.py
175,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/migrations/0209_user_profile_no_empty_password.py
86,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/migrations/0377_message_edit_history_format.py
89,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/migrations/0298_fix_realmauditlog_format.py
220,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/models.py
1341,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/models.py
363,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/decorator.py
811,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/decorator.py
1038,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/decorator.py
46,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/tests/test_compatibility.py
64,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/tests/test_openapi.py
356,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/tests/test_openapi.py
537,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/tests/test_openapi.py
496,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/tests/test_message_notification_emails.py
3930,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
505,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/tests/test_users.py
578,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/tests/test_users.py
57,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/edit_linkifiers.py
74,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/backup.py
66,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/change_user_role.py
82,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/zerver/management/commands/change_user_role.py
38,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/sync_ldap_user_data.py
33,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/management/commands/list_realms.py
26,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/purge_queue.py
44,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/management/commands/unarchive_stream.py
102,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/send_custom_email.py
131,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/send_custom_email.py
132,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/management/commands/export.py
181,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/export.py
74,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/management/commands/soft_deactivate_users.py
57,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/restore_messages.py
206,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/export_search.py
219,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/management/commands/export_search.py
418,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/openapi/openapi.py
114,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/openapi/markdown_extension.py
236,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/openapi/markdown_extension.py
300,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/openapi/markdown_extension.py
495,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/forms.py
225,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
362,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
673,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
705,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
1529,complex conditional,long if,10,3,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
455,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/data_import/mattermost.py
590,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/data_import/mattermost.py
681,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/mattermost.py
316,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/gitter.py
830,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/slack.py
911,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/data_import/slack.py
1078,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/slack.py
1360,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/slack.py
1467,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/data_import/slack.py
103,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
588,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
678,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
740,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
881,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
915,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/data_import/rocketchat.py
109,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/create_user.py
329,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/create_user.py
361,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/create_user.py
591,complex conditional,long if,7,3,../input_projects/multi_projects/zulip/zerver/actions/streams.py
922,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/streams.py
95,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/reactions.py
131,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/reactions.py
102,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
280,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
425,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
535,complex conditional,long if,6,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
617,complex conditional,long if,4,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
629,complex conditional,long if,8,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
745,complex conditional,long if,5,3,../input_projects/multi_projects/zulip/zerver/actions/message_edit.py
