Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
381,long class,358,200,19,20,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
742,long class,3318,200,61,20,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
4342,long class,363,200,11,20,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
4739,long class,206,200,5,20,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
5302,long class,211,200,6,20,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
173,long class,585,200,13,20,../input_projects/multi_projects/zulip/corporate/tests/test_remote_billing.py
654,long class,2035,200,72,20,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2692,long class,332,200,27,20,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3027,long class,382,200,27,20,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3412,long class,381,200,27,20,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
17,long class,358,200,28,20,../input_projects/multi_projects/zulip/tools/tests/test_template_parser.py
202,long class,872,200,3,20,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
38,long class,895,200,0,20,../input_projects/multi_projects/zulip/zerver/migrations/0001_initial.py
322,long class,807,200,29,20,../input_projects/multi_projects/zulip/zerver/models.py
1582,long class,310,200,1,20,../input_projects/multi_projects/zulip/zerver/models.py
1903,long class,482,200,33,20,../input_projects/multi_projects/zulip/zerver/models.py
17,long class,296,200,3,20,../input_projects/multi_projects/zulip/zerver/tests/test_user_status.py
217,long class,267,200,9,20,../input_projects/multi_projects/zulip/zerver/tests/test_retention.py
609,long class,266,200,8,20,../input_projects/multi_projects/zulip/zerver/tests/test_retention.py
46,long class,1247,200,39,20,../input_projects/multi_projects/zulip/zerver/tests/test_home.py
40,long class,346,200,7,20,../input_projects/multi_projects/zulip/zerver/tests/test_custom_profile_data.py
461,long class,418,200,15,20,../input_projects/multi_projects/zulip/zerver/tests/test_custom_profile_data.py
235,long class,337,200,13,20,../input_projects/multi_projects/zulip/zerver/tests/test_email_mirror.py
575,long class,342,200,9,20,../input_projects/multi_projects/zulip/zerver/tests/test_email_mirror.py
1003,long class,333,200,8,20,../input_projects/multi_projects/zulip/zerver/tests/test_email_mirror.py
112,long class,213,200,3,20,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
328,long class,872,200,15,20,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
1203,long class,1116,200,17,20,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
2426,long class,868,200,22,20,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
3478,long class,340,200,14,20,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
64,long class,222,200,7,20,../input_projects/multi_projects/zulip/zerver/tests/test_decorators.py
11,long class,294,200,14,20,../input_projects/multi_projects/zulip/zerver/tests/test_drafts.py
57,long class,218,200,7,20,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
278,long class,321,200,8,20,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
602,long class,206,200,9,20,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
